,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
HOU,20,11,8,0.73
DET,20,11,8,0.73
LAC,20,11,8,0.73
MIN,20,7,5,0.71
OKC,20,10,7,0.7
POR,20,12,8,0.67
CLE,20,9,6,0.67
BOS,20,9,6,0.67
SAS,20,11,7,0.64
CHI,20,11,7,0.64
LAL,20,8,5,0.62
NYK,20,10,6,0.6
PHI,20,10,6,0.6
GSW,20,12,7,0.58
ORL,20,9,5,0.56
TOR,20,11,6,0.55
MIA,20,11,6,0.55
WAS,20,13,6,0.46
DAL,20,11,5,0.45
IND,20,11,5,0.45
CHO,20,9,4,0.44
DEN,20,9,4,0.44
MIL,20,7,3,0.43
MEM,20,12,5,0.42
ATL,20,8,3,0.38
SAC,20,11,4,0.36
NOP,20,7,2,0.29
BRK,20,8,2,0.25
UTA,20,9,2,0.22
