home_team,away_team,home_team_prob,odds 1,odds 2,result,date
BOS,LAL,0.5223279470083783,1.32,3.5,0,2025-12-05
ORL,MIA,0.6804984990229582,1.46,2.8,0,2025-12-05
ATL,DEN,0.40819091689603826,2.7,1.49,0,2025-12-05
CLE,SAS,0.5523240183581529,1.6,2.4,0,2025-12-05
DET,POR,0.5658554721918301,1.33,3.45,0,2025-12-05
NYK,UTA,0.6465977773317136,1.08,8.5,0,2025-12-05
TOR,CHO,0.6562562065034471,1.34,3.35,0,2025-12-05
CHI,IND,0.46861788331935633,1.51,2.64,0,2025-12-05
HOU,PHX,,,,0,2025-12-05
MEM,LAC,0.548525367171342,2.1,1.77,0,2025-12-05
MIL,PHI,0.5303962208738779,1.93,1.89,0,2025-12-05
OKC,DAL,0.690020745902986,1.1,7.75,0,2025-12-05
