home_team,away_team,home_team_prob,odds 1,odds 2,result,date
DET,DEN,0.7900857248659193,1.52,2.6,0,2026-02-03
IND,UTA,0.463146356285462,1.65,2.3,0,2026-02-03
WAS,NYK,0.43046929804735945,5.9,1.15,0,2026-02-03
BRK,LAL,0.32410729868661386,4.0,1.26,0,2026-02-03
MIA,ATL,0.6081790900614528,1.77,2.1,0,2026-02-03
DAL,BOS,0.4957188248147512,3.1,1.39,0,2026-02-03
MIL,CHI,0.5631460018522648,2.2,1.7,0,2026-02-03
OKC,ORL,0.6611040328572959,1.34,3.4,0,2026-02-03
GSW,PHI,0.5377031362813611,1.65,2.3,0,2026-02-03
POR,PHX,,,,0,2026-02-03
