,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
SAS,20,10,8,0.8
POR,20,12,9,0.75
LAL,20,8,6,0.75
LAC,20,10,7,0.7
ORL,20,10,7,0.7
DET,20,13,9,0.69
CLE,20,9,6,0.67
BOS,20,11,7,0.64
HOU,20,11,7,0.64
OKC,20,10,6,0.6
PHI,20,10,6,0.6
CHI,20,10,6,0.6
NYK,20,10,6,0.6
GSW,20,12,7,0.58
CHO,20,7,4,0.57
MIN,20,9,5,0.56
TOR,20,11,6,0.55
MIL,20,8,4,0.5
ATL,20,8,4,0.5
IND,20,11,5,0.45
MIA,20,9,4,0.44
DEN,20,9,4,0.44
WAS,20,12,5,0.42
DAL,20,12,5,0.42
MEM,20,11,4,0.36
SAC,20,12,4,0.33
BRK,20,9,3,0.33
NOP,20,6,2,0.33
UTA,20,8,2,0.25
