,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
HOU,20,11,9,0.82
LAC,20,11,9,0.82
DET,20,11,8,0.73
OKC,20,11,8,0.73
CLE,20,9,6,0.67
BOS,20,9,6,0.67
POR,20,12,8,0.67
CHI,20,11,7,0.64
LAL,20,8,5,0.62
MIN,20,8,5,0.62
SAS,20,10,6,0.6
TOR,20,10,6,0.6
PHI,20,10,6,0.6
GSW,20,12,7,0.58
ORL,20,9,5,0.56
NYK,20,9,5,0.56
MIA,20,11,6,0.55
WAS,20,13,6,0.46
IND,20,11,5,0.45
DAL,20,11,5,0.45
DEN,20,9,4,0.44
CHO,20,9,4,0.44
MEM,20,12,5,0.42
SAC,20,10,4,0.4
ATL,20,8,3,0.38
MIL,20,6,2,0.33
NOP,20,8,2,0.25
BRK,20,8,2,0.25
UTA,20,9,2,0.22
