,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
CLE,20,8,7,0.88
PHO,20,7,6,0.86
SAS,20,10,8,0.8
NOP,20,8,6,0.75
PHI,20,8,6,0.75
BOS,20,11,8,0.73
OKC,20,11,8,0.73
NYK,20,7,5,0.71
LAL,20,14,10,0.71
CHO,20,10,7,0.7
DET,20,10,7,0.7
ATL,20,13,9,0.69
MIA,20,12,8,0.67
ORL,20,12,8,0.67
MIN,20,11,7,0.64
LAC,20,10,6,0.6
DEN,20,11,6,0.55
HOU,20,11,6,0.55
MIL,20,11,6,0.55
POR,20,10,5,0.5
TOR,20,10,4,0.4
WAS,20,11,4,0.36
BRK,20,9,3,0.33
GSW,20,10,3,0.3
SAC,20,7,2,0.29
MEM,20,8,2,0.25
IND,20,8,2,0.25
CHI,20,10,2,0.2
UTA,20,10,2,0.2
DAL,20,8,0,0.0
