run_date,setup,today_home_team,today_away_team,game_date,home_team,away_team,home_team_prob,home_win_rate,odds_1,odds_2,home_win,home_ml_pnl_100
2026-05-22,general_setup,,,2025-10-24,NYK,BOS,0.6512124624794146,1.0,1.67,2.25,1.0,67.0
2026-05-22,general_setup,,,2025-10-27,CHI,ATL,0.6255320227537459,1.0,2.14,1.74,1.0,114.00000000000001
2026-05-22,general_setup,,,2025-10-27,MIN,DEN,0.6417247580306555,1.0,3.05,1.4,0.0,-100.0
2026-05-22,general_setup,,,2025-10-27,PHI,ORL,0.659285394953311,1.0,2.9,1.43,1.0,190.0
2026-05-22,general_setup,,,2025-10-28,MIL,NYK,0.6100791721032666,1.0,2.05,1.8,1.0,104.99999999999999
2026-05-22,general_setup,,,2025-10-30,CHO,ORL,0.6841786759261168,1.0,2.24,1.68,0.0,-100.0
2026-05-22,general_setup,,,2025-10-30,MIL,GSW,0.6367808565490992,1.0,2.3,1.65,1.0,129.99999999999997
2026-05-22,general_setup,,,2025-10-31,CHI,NYK,0.6968210291210132,1.0,2.6,1.52,1.0,160.0
2026-05-22,general_setup,,,2025-11-05,NYK,MIN,0.6920965492994933,1.0,1.65,2.3,1.0,64.99999999999999
2026-05-22,general_setup,,,2025-11-06,PHO,LAC,0.6835258342045505,0.75,1.74,2.14,1.0,74.0
2026-05-22,general_setup,,,2025-11-07,SAC,OKC,0.62188098132539,0.67,5.25,1.17,0.0,-100.0
2026-05-22,general_setup,,,2025-11-09,MIL,HOU,0.6503297938132581,0.8,2.45,1.57,0.0,-100.0
2026-05-22,general_setup,,,2025-11-12,DET,CHI,0.6884772230872925,0.83,2.02,1.82,1.0,102.0
2026-05-22,general_setup,,,2025-11-12,SAS,GSW,0.7352251782418444,1.0,1.62,2.36,0.0,-100.0
2026-05-22,general_setup,,,2025-11-14,DET,PHI,0.7199655027381294,0.86,1.62,2.36,1.0,62.000000000000014
2026-05-22,general_setup,,,2025-11-16,PHO,ATL,0.6347441961964095,0.86,1.95,1.87,0.0,-100.0
2026-05-22,general_setup,,,2025-11-18,ORL,GSW,0.6550214093420926,0.57,2.36,1.62,1.0,136.0
2026-05-22,general_setup,,,2025-11-19,CLE,HOU,0.6649952849665081,0.75,2.0,1.83,0.0,-100.0
2026-05-22,general_setup,,,2025-11-19,PHI,TOR,0.6635558086581727,0.71,2.14,1.74,0.0,-100.0
2026-05-22,general_setup,,,2025-11-20,SAS,ATL,0.6519022225297415,0.78,1.91,1.91,1.0,90.99999999999999
2026-05-22,general_setup,,,2025-11-21,HOU,DEN,0.6997622437963672,0.83,1.74,2.14,0.0,-100.0
2026-05-22,general_setup,,,2025-11-21,PHO,MIN,0.6082955521794886,0.75,2.54,1.54,1.0,154.0
2026-05-22,general_setup,,,2025-11-22,ORL,NYK,0.6667776830140433,0.67,1.87,1.95,1.0,87.00000000000001
2026-05-22,general_setup,,,2025-11-23,PHO,SAS,0.6367809127968677,0.78,1.68,2.24,1.0,68.0
2026-05-22,general_setup,,,2025-11-24,PHO,HOU,0.7666323397776689,0.8,2.9,1.43,0.0,-100.0
2026-05-22,general_setup,,,2025-11-24,TOR,CLE,0.6308937513462158,0.71,1.87,1.95,1.0,87.00000000000001
2026-05-22,general_setup,,,2025-11-26,BOS,DET,0.6979409304193159,0.56,2.24,1.68,1.0,124.00000000000003
2026-05-22,general_setup,,,2025-11-29,PHO,DEN,0.7102849395345799,0.73,2.36,1.62,0.0,-100.0
2026-05-22,general_setup,,,2025-12-02,BOS,NYK,0.6454243572825947,0.6,1.89,1.93,1.0,88.99999999999999
2026-05-22,general_setup,,,2025-12-02,GSW,OKC,0.6058517372438283,0.78,5.4,1.17,0.0,-100.0
2026-05-22,general_setup,,,2025-12-04,TOR,LAL,0.6207314332501827,0.8,1.7,2.2,0.0,-100.0
2026-05-22,general_setup,,,2025-12-07,NYK,ORL,0.7524579369686818,0.92,1.62,2.24,1.0,62.000000000000014
2026-05-22,general_setup,,,2025-12-07,PHI,LAL,0.624214118191619,0.54,2.4,1.6,0.0,-100.0
2026-05-22,general_setup,,,2025-12-09,ORL,MIA,0.6960493023746125,0.69,1.89,1.93,1.0,88.99999999999999
2026-05-22,general_setup,,,2025-12-15,BOS,DET,0.6222335524421478,0.67,1.82,2.02,0.0,-100.0
2026-05-22,general_setup,,,2025-12-15,DEN,HOU,0.6054177606840577,0.6,1.85,1.98,1.0,85.00000000000001
2026-05-22,general_setup,,,2025-12-18,MIL,TOR,0.6223926990371704,0.53,2.64,1.51,0.0,-100.0
2026-05-22,general_setup,,,2025-12-19,MIN,OKC,0.6119303796786107,0.64,3.7,1.29,1.0,270.0
2026-05-22,general_setup,,,2025-12-20,DEN,HOU,0.6175347693173632,0.67,2.0,1.83,0.0,-100.0
2026-05-22,general_setup,,,2025-12-20,PHI,DAL,0.6827665437596036,0.53,1.65,2.3,1.0,64.99999999999999
2026-05-22,general_setup,,,2025-12-29,SAS,CLE,0.7165933640697243,0.79,1.74,2.14,0.0,-100.0
2026-05-22,general_setup,,,2025-12-31,SAS,NYK,0.6066725907181034,0.73,1.82,2.02,1.0,82.0
2026-05-22,general_setup,,,2026-01-03,NYK,PHI,0.6327208062713386,0.83,1.65,2.3,0.0,-100.0
2026-05-22,general_setup,,,2026-01-05,DET,NYK,0.6648670356899954,0.81,2.3,1.65,1.0,129.99999999999997
2026-05-22,general_setup,,,2026-01-05,TOR,ATL,0.671663023525516,0.58,1.62,2.36,1.0,62.000000000000014
2026-05-22,general_setup,,,2026-01-08,MIN,CLE,0.705668728118653,0.68,1.8,2.05,1.0,80.0
2026-05-22,general_setup,,,2026-01-09,PHO,NYK,0.6591690742870373,0.71,1.98,1.85,1.0,98.0
2026-05-22,general_setup,,,2026-01-10,BOS,SAS,0.6608771232919017,0.67,1.98,1.85,0.0,-100.0
2026-05-22,general_setup,,,2026-01-10,CLE,MIN,0.621974270115102,0.6,1.7,2.2,1.0,70.0
2026-05-22,general_setup,,,2026-01-11,MIN,SAS,0.6539265318434804,0.7,1.7,2.2,1.0,70.0
2026-05-22,general_setup,,,2026-01-11,POR,NYK,0.6174432143720677,0.53,2.6,1.52,0.0,-100.0
2026-05-22,general_setup,,,2026-01-11,TOR,PHI,0.6428520307844056,0.6,2.54,1.54,1.0,154.0
2026-05-22,general_setup,,,2026-01-13,LAL,ATL,0.6713112546211288,0.59,2.2,1.7,1.0,120.00000000000001
2026-05-22,general_setup,,,2026-01-14,PHI,CLE,0.7064706546389082,0.53,1.87,1.95,0.0,-100.0
2026-05-22,general_setup,,,2026-01-18,LAL,TOR,0.6934616770963775,0.58,2.05,1.8,1.0,104.99999999999999
2026-05-22,general_setup,,,2026-01-19,DET,BOS,0.7188304323478916,0.8,1.65,2.3,1.0,64.99999999999999
2026-05-22,general_setup,,,2026-01-20,GSW,TOR,0.7053917669640344,0.7,1.62,2.36,0.0,-100.0
2026-05-22,general_setup,,,2026-01-22,DAL,GSW,0.6003165892167142,0.6,2.85,1.44,1.0,185.0
2026-05-22,general_setup,,,2026-01-22,POR,MIA,0.6856091483703756,0.55,1.83,2.0,1.0,83.0
2026-05-22,general_setup,,,2026-01-23,POR,TOR,0.6246634963964303,0.55,2.2,1.7,0.0,-100.0
2026-05-22,general_setup,,,2026-01-28,HOU,SAS,0.630680414020733,0.84,1.68,2.24,0.0,-100.0
2026-05-22,general_setup,,,2026-01-28,TOR,NYK,0.6266132774152411,0.6,1.8,2.05,0.0,-100.0
2026-05-22,general_setup,,,2026-01-29,MIN,OKC,0.612421802992306,0.7,2.9,1.43,1.0,190.0
2026-05-22,general_setup,,,2026-01-29,PHO,DET,0.6182063287926581,0.7,2.36,1.62,1.0,136.0
2026-05-22,general_setup,,,2026-01-30,GSW,DET,0.647262279881838,0.65,1.82,2.02,0.0,-100.0
2026-05-22,general_setup,,,2026-02-01,DEN,OKC,0.6220144051758707,0.55,3.35,1.34,0.0,-100.0
2026-05-22,general_setup,,,2026-02-01,PHO,LAC,0.7239283581628616,0.75,2.05,1.8,0.0,-100.0
2026-05-22,general_setup,,,2026-02-03,MIA,ATL,0.6109948393881908,0.55,1.62,2.36,0.0,-100.0
2026-05-22,general_setup,,,2026-02-05,HOU,CHO,0.6422893410821325,0.8,1.62,2.36,0.0,-100.0
2026-05-22,general_setup,,,2026-02-07,OKC,HOU,0.6295602513583777,0.75,1.65,2.3,0.0,-100.0
2026-05-22,general_setup,,,2026-02-07,PHO,PHI,0.6023443879451466,0.65,1.82,2.02,0.0,-100.0
2026-05-22,general_setup,,,2026-02-08,BOS,NYK,0.7308136588982316,0.75,1.62,2.36,0.0,-100.0
2026-05-22,general_setup,,,2026-02-09,LAL,OKC,0.7543929316248463,0.65,3.1,1.39,0.0,-100.0
2026-05-22,general_setup,,,2026-02-11,PHO,OKC,0.6073757748985101,0.6,3.2,1.37,0.0,-100.0
2026-05-22,general_setup,,,2026-02-22,LAL,BOS,0.6115161696074684,0.6,2.1,1.77,0.0,-100.0
2026-05-22,general_setup,,,2026-02-22,PHO,POR,0.641618806386039,0.6,2.36,1.62,0.0,-100.0
2026-05-22,general_setup,,,2026-02-23,DET,SAS,0.6930208313849389,0.75,1.8,2.05,0.0,-100.0
2026-05-22,general_setup,,,2026-03-01,ORL,DET,0.6690720983687932,0.6,2.7,1.49,0.0,-100.0
2026-05-22,general_setup,,,2026-03-04,NYK,OKC,0.788170283990813,0.65,2.45,1.57,0.0,-100.0
2026-05-22,general_setup,,,2026-03-05,SAS,DET,0.7019645897888568,0.8,1.65,2.3,1.0,64.99999999999999
2026-05-22,general_setup,,,2026-03-08,MIA,DET,0.6965665043712266,0.55,2.1,1.77,1.0,110.00000000000001
2026-05-22,general_setup,,,2026-03-09,LAC,NYK,0.6628566799978931,0.65,2.2,1.7,1.0,120.00000000000001
2026-05-22,general_setup,,,2026-03-10,LAL,MIN,0.6285966596545416,0.65,2.2,1.7,1.0,120.00000000000001
