,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
NYK,19,11,10,0.91
MIA,20,11,9,0.82
SAS,18,10,8,0.8
DET,20,10,8,0.8
GSW,20,9,7,0.78
PHO,17,9,7,0.78
TOR,20,9,7,0.78
LAL,19,9,7,0.78
CHI,19,8,6,0.75
HOU,16,7,5,0.71
ORL,20,10,7,0.7
MIN,20,10,7,0.7
CLE,20,12,8,0.67
DEN,18,9,6,0.67
BOS,20,10,6,0.6
ATL,20,7,4,0.57
CHO,19,10,5,0.5
PHI,19,11,5,0.45
MIL,20,11,5,0.45
UTA,19,11,5,0.45
IND,20,10,4,0.4
POR,20,9,3,0.33
MEM,20,9,3,0.33
DAL,20,12,4,0.33
SAC,20,10,3,0.3
LAC,19,10,3,0.3
NOP,20,11,2,0.18
WAS,18,7,1,0.14
BRK,19,9,0,0.0
