home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,DAL,0.800873276015092,1.14,6.0,0,2026-03-03
CLE,DET,0.616511490813082,2.2,1.7,0,2026-03-03
ORL,WAS,0.617020457574671,1.08,8.5,0,2026-03-03
MIA,BRK,0.7321082093378113,1.14,6.0,0,2026-03-03
TOR,NYK,0.48374851400452673,2.2,1.7,0,2026-03-03
CHI,OKC,0.3525368823649131,4.3,1.24,0,2026-03-03
MIN,MEM,0.5089123038069604,1.12,6.5,0,2026-03-03
PHI,SAS,0.5292905743812862,3.45,1.33,0,2026-03-03
LAL,NOP,0.5623969931464435,1.29,3.75,0,2026-03-03
SAC,PHX,,,,0,2026-03-03
