,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,14,6,6,1.0
DEN,12,6,6,1.0
GSW,14,5,5,1.0
NYK,12,9,8,0.89
DET,13,8,7,0.88
PHO,13,7,6,0.86
CHI,11,6,5,0.83
MIA,13,6,5,0.83
HOU,11,5,4,0.8
SAS,12,7,5,0.71
CLE,14,7,5,0.71
PHI,12,6,4,0.67
MIL,14,8,5,0.62
LAL,14,5,3,0.6
POR,12,5,3,0.6
ORL,13,7,4,0.57
BOS,13,6,3,0.5
MIN,13,6,3,0.5
UTA,12,6,3,0.5
TOR,13,4,2,0.5
CHO,13,7,3,0.43
ATL,13,5,2,0.4
LAC,12,8,3,0.38
MEM,14,8,3,0.38
SAC,13,7,2,0.29
DAL,13,9,2,0.22
NOP,12,5,1,0.2
IND,13,6,1,0.17
BRK,12,6,0,0.0
WAS,12,5,0,0.0
