,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
NYK,20,8,7,0.88
HOU,20,8,7,0.88
OKC,20,12,10,0.83
MIN,20,11,9,0.82
PHO,17,9,7,0.78
SAS,20,9,7,0.78
BOS,20,9,7,0.78
DET,20,7,5,0.71
ORL,20,10,7,0.7
DAL,20,9,6,0.67
LAL,20,9,6,0.67
LAC,20,8,5,0.62
MIA,20,10,6,0.6
TOR,20,13,7,0.54
CLE,20,12,6,0.5
GSW,20,8,4,0.5
MEM,20,8,4,0.5
PHI,20,11,5,0.45
WAS,20,9,4,0.44
DEN,20,9,4,0.44
POR,20,10,4,0.4
CHO,20,10,4,0.4
NOP,20,13,5,0.38
CHI,20,11,4,0.36
BRK,20,11,4,0.36
ATL,20,11,4,0.36
IND,20,12,4,0.33
MIL,20,9,3,0.33
SAC,20,9,3,0.33
UTA,20,12,4,0.33
