home_team,away_team,home_team_prob,odds 1,odds 2,result,date
BRK,WAS,0.2537838804426119,1.43,2.9,0,2026-02-07
OKC,HOU,0.711430153009834,1.65,2.3,0,2026-02-07
SAS,DAL,0.6938866988062153,1.24,4.2,0,2026-02-07
ORL,UTA,0.40148770388300714,1.36,3.25,0,2026-02-07
ATL,CHO,0.5660213170035407,2.2,1.7,0,2026-02-07
CHI,DEN,0.3960177395531517,2.8,1.46,0,2026-02-07
LAL,GSW,0.5822084525582112,1.74,2.14,0,2026-02-07
PHX,PHI,,,,0,2026-02-07
POR,MEM,0.5469753928989627,1.29,3.75,0,2026-02-07
SAC,CLE,0.29886522047001973,5.7,1.15,0,2026-02-07
