,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
MIA,19,10,9,0.9
OKC,20,10,9,0.9
NYK,18,10,8,0.8
SAS,18,10,8,0.8
DET,19,10,8,0.8
TOR,19,9,7,0.78
GSW,20,8,6,0.75
CHI,18,8,6,0.75
CLE,20,11,8,0.73
PHO,20,11,8,0.73
HOU,16,7,5,0.71
ORL,20,10,7,0.7
DEN,18,9,6,0.67
MIN,18,8,5,0.62
LAL,18,8,5,0.62
BOS,18,10,6,0.6
PHI,18,10,5,0.5
MIL,20,11,5,0.45
MEM,20,10,4,0.4
UTA,18,10,4,0.4
POR,19,8,3,0.38
ATL,20,8,3,0.38
SAC,20,9,3,0.33
LAC,19,9,3,0.33
DAL,20,13,4,0.31
CHO,19,10,3,0.3
IND,19,9,2,0.22
NOP,19,11,2,0.18
WAS,18,7,1,0.14
BRK,18,9,0,0.0
