home_team,away_team,home_team_prob,odds 1,odds 2,result,date
BOS,MIL,0.694067204568716,1.16,5.55,0,2026-02-01
DET,BRK,0.6190743363399897,1.15,5.7,0,2026-02-01
MIA,CHI,0.527601998739961,1.46,2.8,0,2026-02-01
TOR,UTA,0.6031638516119325,1.21,4.7,0,2026-02-01
WAS,SAC,0.5912353099729698,2.14,1.74,0,2026-02-01
NYK,LAL,0.6390982623281068,1.52,2.6,0,2026-02-01
SAS,ORL,0.6007597592391523,1.49,2.7,0,2026-02-01
PHX,LAC,,,,0,2026-02-01
POR,CLE,0.5793556720875318,2.3,1.65,0,2026-02-01
DEN,OKC,0.631251302246841,3.25,1.36,0,2026-02-01
