,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,8,8,1.0
NYK,20,11,10,0.91
TOR,20,9,8,0.89
MIA,20,12,10,0.83
DET,20,11,9,0.82
SAS,19,11,9,0.82
LAL,19,9,7,0.78
PHO,17,9,7,0.78
CHI,20,8,6,0.75
HOU,17,7,5,0.71
BOS,20,10,7,0.7
ORL,20,10,7,0.7
MIN,20,10,7,0.7
CLE,20,12,8,0.67
GSW,20,9,6,0.67
DEN,19,10,6,0.6
ATL,20,7,4,0.57
UTA,20,12,6,0.5
CHO,20,10,5,0.5
PHI,20,12,6,0.5
MIL,20,11,5,0.45
IND,20,10,4,0.4
POR,20,8,3,0.38
MEM,20,8,3,0.38
DAL,20,11,4,0.36
LAC,20,10,3,0.3
SAC,20,10,3,0.3
WAS,20,8,2,0.25
NOP,20,11,2,0.18
BRK,20,10,1,0.1
