date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,kelly_full,kelly_fraction_used,stake_eur,exp_profit_eur,param_home_win_rate_threshold,param_odds_min,param_odds_max,param_prob_threshold,bankroll_at_bettime,fair_odds,edge_pct
2025-11-18,LAL,UTA,0.6,0.736,0.736,1.15,-15.38,-1.025,0.0,0.0,-0.0,0.5,1.1,3.4,0.45,1143.28,1.359,-15.38
2025-11-18,ORL,GSW,0.57,0.854,0.75,2.36,77.0,0.566,0.1,114.33,88.03,0.5,1.1,3.4,0.45,1143.28,1.333,77.04
2025-11-18,SAS,MEM,0.75,0.736,0.736,1.43,5.23,0.122,0.061,69.48,3.63,0.5,1.1,3.4,0.45,1143.28,1.359,5.22
