,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,18,8,8,1.0
NYK,15,9,8,0.89
DET,16,9,8,0.89
MIA,17,8,7,0.88
GSW,18,6,5,0.83
SAS,16,10,8,0.8
PHO,17,10,8,0.8
CHI,16,8,6,0.75
DEN,16,8,6,0.75
CLE,18,11,8,0.73
TOR,17,7,5,0.71
HOU,14,7,5,0.71
ORL,18,10,7,0.7
LAL,16,6,4,0.67
MIN,16,8,5,0.62
BOS,17,9,5,0.56
PHI,16,9,5,0.56
MIL,17,10,5,0.5
UTA,16,9,4,0.44
MEM,17,9,4,0.44
POR,17,7,3,0.43
ATL,18,7,3,0.43
CHO,17,8,3,0.38
LAC,17,8,3,0.38
DAL,18,13,4,0.31
IND,16,7,2,0.29
SAC,17,7,2,0.29
NOP,17,9,1,0.11
BRK,16,7,0,0.0
WAS,16,6,0,0.0
