home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
IND,MIN,0.587687618471051,6.5,1.12,0,2026-04-07,,
WAS,CHI,0.5234797391253435,2.85,1.44,0,2026-04-07,,
BRK,MIL,0.298635635878872,2.2,1.7,0,2026-04-07,,
TOR,MIA,0.49439731622011635,1.83,2.0,0,2026-04-07,,
BOS,CHO,0.6433726136903607,1.49,2.7,0,2026-04-07,,
NOP,UTA,0.48156834526648495,1.17,5.25,0,2026-04-07,,
GSW,SAC,0.5375615395480338,1.1,7.75,0,2026-04-07,,
LAL,OKC,0.4706680922662827,11.0,1.06,0,2026-04-07,,
LAC,DAL,0.6141348566663283,1.16,5.55,0,2026-04-07,,
PHX,HOU,,,,0,2026-04-07,,
