,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,5,5,1.0
PHO,18,10,8,0.8
MIN,20,10,8,0.8
DAL,20,9,7,0.78
DET,20,9,7,0.78
OKC,20,13,10,0.77
BOS,20,8,6,0.75
DEN,20,7,5,0.71
NYK,20,9,6,0.67
LAC,20,11,7,0.64
LAL,20,11,7,0.64
POR,20,11,7,0.64
SAS,20,8,5,0.62
ORL,20,10,6,0.6
GSW,20,12,7,0.58
MEM,20,9,5,0.56
PHI,20,9,5,0.56
MIL,20,8,4,0.5
MIA,20,8,4,0.5
CLE,20,11,5,0.45
WAS,20,11,5,0.45
BRK,20,11,5,0.45
UTA,20,9,4,0.44
TOR,20,12,5,0.42
SAC,20,12,4,0.33
CHO,20,9,3,0.33
NOP,20,12,4,0.33
CHI,20,13,4,0.31
ATL,20,10,3,0.3
IND,20,12,3,0.25
