home_team,away_team,home_team_prob,result,odds 1,odds 2,date
UTA,MIN,0.38776020275265377,0,3.45,1.33,2025-11-10
CHO,LAL,0.323404825417943,0,3.8,1.28,2025-11-10
LAC,ATL,0.5983897149624378,0,1.54,2.54,2025-11-10
PHO,NOP,0.6733011096801813,0,1.28,3.85,2025-11-10
DAL,MIL,0.2832228797007965,0,2.2,1.7,2025-11-10
MIA,CLE,0.6139813905399808,0,3.4,1.34,2025-11-10
CHI,SAS,0.37111839011264547,0,2.5,1.56,2025-11-10
DET,WAS,0.6589937383088289,0,1.15,5.7,2025-11-10
ORL,POR,0.25791397466588256,0,1.77,2.1,2025-11-10
