home_team,away_team,date,side,prob,odds,stake
LAL,MIN,2025-10-24,home-raw,0.5743,2.0500,3.5649
LAL,MIN,2025-10-24,home-platt,0.8569,2.0500,12.6600
LAL,MIN,2025-10-24,home-iso,0.6667,2.0500,7.3683
MEM,MIA,2025-10-24,home-raw,0.5985,1.7100,0.6981
MEM,MIA,2025-10-24,home-platt,0.8569,1.7100,12.6600
MEM,MIA,2025-10-24,home-iso,0.6667,1.7100,4.1606
NYK,BOS,2025-10-24,home-raw,0.6512,1.6700,2.7564
NYK,BOS,2025-10-24,home-platt,0.8569,1.6700,12.6600
NYK,BOS,2025-10-24,home-iso,1.0000,1.6700,12.6600
POR,GSW,2025-10-24,home-platt,0.8571,1.6800,12.6600
