,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DEN,12,6,6,1.0
GSW,15,5,5,1.0
OKC,14,6,6,1.0
NYK,12,9,8,0.89
DET,13,8,7,0.88
HOU,12,6,5,0.83
MIA,13,6,5,0.83
CHI,12,6,5,0.83
PHO,14,8,6,0.75
SAS,13,8,6,0.75
CLE,14,7,5,0.71
PHI,12,6,4,0.67
MIL,14,8,5,0.62
POR,13,5,3,0.6
LAL,14,5,3,0.6
BOS,14,7,4,0.57
ORL,14,7,4,0.57
UTA,13,7,4,0.57
TOR,13,4,2,0.5
MIN,13,6,3,0.5
CHO,13,7,3,0.43
ATL,14,5,2,0.4
LAC,13,8,3,0.38
MEM,14,8,3,0.38
DAL,14,10,3,0.3
SAC,14,7,2,0.29
IND,13,6,1,0.17
NOP,13,6,1,0.17
BRK,13,6,0,0.0
WAS,13,6,0,0.0
