,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
ATL,20,12,11,0.92
NYK,20,8,7,0.88
PHO,20,7,6,0.86
DEN,20,14,12,0.86
SAS,20,12,10,0.83
LAL,20,10,8,0.8
BOS,20,10,8,0.8
DET,20,10,8,0.8
POR,20,9,7,0.78
PHI,20,8,6,0.75
HOU,20,12,9,0.75
TOR,20,8,6,0.75
NOP,20,9,6,0.67
CHO,20,11,7,0.64
ORL,20,11,7,0.64
MIA,20,11,7,0.64
CLE,20,8,5,0.62
SAC,20,11,6,0.55
LAC,20,11,6,0.55
MIL,20,11,5,0.45
MIN,20,9,4,0.44
BRK,20,11,4,0.36
GSW,20,9,3,0.33
CHI,20,9,3,0.33
UTA,20,9,3,0.33
MEM,20,11,2,0.18
DAL,20,7,1,0.14
IND,20,8,1,0.12
WAS,20,9,0,0.0
PHX,9,4,0,0.0
