,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,10,9,0.9
CLE,20,8,7,0.88
PHO,20,7,6,0.86
PHI,20,9,7,0.78
ATL,20,13,10,0.77
BOS,20,12,9,0.75
NOP,20,8,6,0.75
OKC,20,11,8,0.73
LAL,20,15,11,0.73
ORL,20,11,8,0.73
NYK,20,7,5,0.71
DET,20,10,7,0.7
MIA,20,12,8,0.67
CHO,20,9,6,0.67
HOU,20,11,7,0.64
DEN,20,10,6,0.6
MIN,20,10,6,0.6
MIL,20,11,6,0.55
POR,20,10,5,0.5
LAC,20,10,5,0.5
TOR,20,10,4,0.4
BRK,20,9,3,0.33
WAS,20,10,3,0.3
SAC,20,7,2,0.29
MEM,20,8,2,0.25
IND,20,9,2,0.22
UTA,20,9,2,0.22
GSW,20,10,2,0.2
CHI,20,9,1,0.11
DAL,20,8,0,0.0
