date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,ev_per_100,win,pnl,stake
2025-12-15,BOS,DET,0.78,0.6721311475409836,0.6721311475409836,1.82,22.32786885245901,0,-100.0,100.0
2025-12-19,NYK,PHI,0.7,0.7037037037037037,0.7037037037037037,1.59,11.888888888888898,0,-100.0,100.0
2025-12-21,NYK,MIA,0.7,0.8059701492537313,0.8,1.32,5.60000000000001,1,32.00000000000001,100.0
2025-12-23,SAS,OKC,0.62,0.5740740740740741,0.5740740740740741,2.85,63.61111111111112,1,185.0,100.0
2025-12-28,LAC,DET,0.6,0.5740740740740741,0.5740740740740741,2.36,35.48148148148147,1,136.0,100.0
2025-12-29,SAS,CLE,0.62,0.8059701492537313,0.8,1.74,39.2,0,-100.0,100.0
2025-12-31,SAS,NYK,0.62,0.8059701492537313,0.8,1.77,41.600000000000016,1,77.0,100.0
2026-01-01,DET,MIA,0.75,0.6721311475409836,0.6721311475409836,1.51,1.4918032786885194,0,-100.0,100.0
2026-01-03,LAC,BOS,0.6,0.7037037037037037,0.7037037037037037,1.85,30.185185185185194,0,-100.0,100.0
2026-01-05,DET,NYK,0.75,0.8059701492537313,0.8,2.14,71.20000000000002,1,114.00000000000001,100.0
2026-01-05,LAC,GSW,0.6,0.6721311475409836,0.6721311475409836,1.98,33.08196721311475,1,98.0,100.0
