,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,9,8,0.89
HOU,20,6,5,0.83
MIN,20,12,10,0.83
BOS,20,10,8,0.8
NYK,20,10,8,0.8
OKC,20,10,8,0.8
PHO,17,9,7,0.78
LAL,20,8,6,0.75
SAS,20,8,6,0.75
ORL,20,10,7,0.7
DAL,20,10,7,0.7
MEM,20,7,4,0.57
CHO,20,9,5,0.56
GSW,20,9,5,0.56
TOR,20,11,6,0.55
CLE,20,14,7,0.5
MIA,20,10,5,0.5
PHI,20,13,6,0.46
DEN,20,9,4,0.44
UTA,20,14,6,0.43
MIL,20,10,4,0.4
CHI,20,8,3,0.38
NOP,20,14,5,0.36
BRK,20,11,4,0.36
IND,20,12,4,0.33
WAS,20,9,3,0.33
ATL,20,10,3,0.3
LAC,20,7,2,0.29
POR,20,9,2,0.22
SAC,20,9,2,0.22
