home_team,away_team,home_team_prob,odds 1,odds 2,result,date
IND,SAS,0.35489898947781945,2.8,1.46,0,2026-01-02
WAS,BRK,0.5989214988295224,1.59,2.42,0,2026-01-02
CLE,DEN,0.6485211642726335,1.12,6.75,0,2026-01-02
NYK,ATL,0.5058273693177975,1.38,3.15,0,2026-01-02
CHI,ORL,0.5123046440910571,2.7,1.49,0,2026-01-02
MIL,CHO,0.5927274052071528,1.41,3.0,0,2026-01-02
NOP,POR,0.6214120125836592,1.93,1.89,0,2026-01-02
PHX,SAC,,,,0,2026-01-02
GSW,OKC,0.5253647673166947,3.85,1.28,0,2026-01-02
LAL,MEM,0.37478511682495996,1.6,2.4,0,2026-01-02
