,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
NYK,20,8,7,0.88
HOU,20,8,7,0.88
DET,20,7,6,0.86
OKC,20,12,10,0.83
BOS,20,10,8,0.8
PHO,17,9,7,0.78
DAL,20,8,6,0.75
MIN,20,12,9,0.75
ORL,20,10,7,0.7
SAS,20,9,6,0.67
LAL,20,9,6,0.67
MIA,20,11,7,0.64
TOR,20,12,7,0.58
LAC,20,7,4,0.57
GSW,20,8,4,0.5
CLE,20,12,6,0.5
MEM,20,8,4,0.5
PHI,20,11,5,0.45
WAS,20,9,4,0.44
CHO,20,9,4,0.44
DEN,20,9,4,0.44
SAC,20,8,3,0.38
UTA,20,13,5,0.38
NOP,20,14,5,0.36
POR,20,11,4,0.36
BRK,20,11,4,0.36
IND,20,11,4,0.36
MIL,20,9,3,0.33
CHI,20,10,3,0.3
ATL,20,11,3,0.27
