,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
CLE,20,7,6,0.86
BOS,20,10,8,0.8
DET,20,12,9,0.75
CHO,20,10,7,0.7
NYK,20,10,7,0.7
HOU,20,11,7,0.64
LAL,20,11,7,0.64
POR,20,10,6,0.6
NOP,20,7,4,0.57
MIA,20,9,5,0.56
LAC,20,9,5,0.56
OKC,20,9,5,0.56
MIN,20,11,6,0.55
PHI,20,11,6,0.55
ATL,20,11,6,0.55
ORL,20,13,7,0.54
MIL,20,10,5,0.5
GSW,20,13,6,0.46
DEN,20,11,5,0.45
MEM,20,9,3,0.33
CHI,20,12,4,0.33
BRK,20,9,3,0.33
WAS,20,12,4,0.33
IND,20,10,3,0.3
TOR,20,11,3,0.27
DAL,20,12,3,0.25
UTA,20,11,2,0.18
SAC,20,7,1,0.14
