,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DET,20,10,9,0.9
HOU,20,6,5,0.83
MIN,20,12,10,0.83
OKC,20,10,8,0.8
NYK,20,10,8,0.8
ORL,20,10,8,0.8
BOS,20,10,8,0.8
PHO,17,9,7,0.78
SAS,20,8,6,0.75
LAL,20,8,6,0.75
DAL,20,10,7,0.7
GSW,20,9,5,0.56
MIA,20,11,6,0.55
TOR,20,11,6,0.55
CLE,20,14,7,0.5
PHI,20,14,7,0.5
CHO,20,10,5,0.5
DEN,20,9,4,0.44
MEM,20,7,3,0.43
MIL,20,10,4,0.4
IND,20,11,4,0.36
NOP,20,14,5,0.36
UTA,20,14,5,0.36
BRK,20,11,4,0.36
ATL,20,9,3,0.33
LAC,20,8,2,0.25
POR,20,8,2,0.25
CHI,20,8,2,0.25
WAS,20,9,2,0.22
SAC,20,9,2,0.22
