,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,17,7,7,1.0
NYK,15,9,8,0.89
DET,16,9,8,0.89
MIA,16,8,7,0.88
GSW,18,6,5,0.83
SAS,15,10,8,0.8
PHO,16,9,7,0.78
DEN,16,8,6,0.75
CHI,16,8,6,0.75
HOU,14,7,5,0.71
CLE,17,10,7,0.7
ORL,17,10,7,0.7
TOR,16,6,4,0.67
LAL,15,6,4,0.67
MIN,16,8,5,0.62
PHI,15,8,5,0.62
BOS,16,8,4,0.5
UTA,15,8,4,0.5
MIL,17,10,5,0.5
MEM,17,9,4,0.44
POR,16,7,3,0.43
CHO,16,8,3,0.38
LAC,16,8,3,0.38
ATL,17,6,2,0.33
DAL,18,13,4,0.31
IND,16,7,2,0.29
SAC,17,7,2,0.29
NOP,17,9,1,0.11
BRK,15,7,0,0.0
WAS,16,6,0,0.0
