,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,7,6,0.86
MIN,20,10,8,0.8
PHO,17,9,7,0.78
BOS,20,9,7,0.78
OKC,20,12,9,0.75
DAL,20,8,6,0.75
DET,20,8,6,0.75
NYK,20,10,7,0.7
LAL,20,10,7,0.7
ORL,20,8,5,0.62
LAC,20,10,6,0.6
SAS,20,7,4,0.57
MIA,20,11,6,0.55
WAS,20,11,6,0.55
TOR,20,13,7,0.54
DEN,20,8,4,0.5
GSW,20,10,5,0.5
POR,20,10,5,0.5
MEM,20,8,4,0.5
CLE,20,11,5,0.45
MIL,20,9,4,0.44
CHO,20,9,4,0.44
BRK,20,12,5,0.42
PHI,20,10,4,0.4
NOP,20,13,5,0.38
CHI,20,11,4,0.36
UTA,20,11,4,0.36
ATL,20,10,3,0.3
SAC,20,11,3,0.27
IND,20,12,3,0.25
