,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
LAC,20,11,8,0.73
MIN,20,7,5,0.71
SAS,20,10,7,0.7
CHI,20,10,7,0.7
OKC,20,10,7,0.7
CLE,20,9,6,0.67
DET,20,12,8,0.67
BOS,20,9,6,0.67
POR,20,12,8,0.67
HOU,20,11,7,0.64
LAL,20,8,5,0.62
NYK,20,10,6,0.6
PHI,20,10,6,0.6
ORL,20,10,6,0.6
GSW,20,12,7,0.58
MIA,20,11,6,0.55
TOR,20,11,6,0.55
CHO,20,8,4,0.5
ATL,20,8,4,0.5
IND,20,11,5,0.45
DEN,20,9,4,0.44
MIL,20,7,3,0.43
MEM,20,12,5,0.42
WAS,20,12,5,0.42
DAL,20,12,5,0.42
SAC,20,11,4,0.36
NOP,20,7,2,0.29
BRK,20,8,2,0.25
UTA,20,8,2,0.25
