home_team,away_team,home_team_prob,odds 1,odds 2,result,date
CHO,MIL,0.5951644220056497,2.36,1.62,0,2025-12-29
WAS,PHX,,,,0,2025-12-29
BRK,GSW,0.6588006390946839,2.5,1.56,0,2025-12-29
MIA,DEN,0.44451570564172305,2.14,1.74,0,2025-12-29
TOR,ORL,0.4849618199468713,2.02,1.82,0,2025-12-29
CHI,MIN,0.6842038445064462,2.95,1.42,0,2025-12-29
HOU,IND,0.6816832163061297,1.1,7.75,0,2025-12-29
NOP,NYK,0.5793878758872416,3.85,1.28,0,2025-12-29
OKC,ATL,0.6793799957396581,1.1,7.75,0,2025-12-29
SAS,CLE,0.751841521921704,1.74,2.14,0,2025-12-29
POR,DAL,0.5105442645565623,1.7,2.2,0,2025-12-29
