,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,8,8,1.0
NYK,20,11,10,0.91
TOR,20,9,8,0.89
MIA,20,12,10,0.83
SAS,20,11,9,0.82
DET,20,11,9,0.82
PHO,17,9,7,0.78
LAL,19,9,7,0.78
HOU,18,8,6,0.75
MIN,20,10,7,0.7
ORL,20,10,7,0.7
BOS,20,10,7,0.7
GSW,20,9,6,0.67
CHI,20,8,5,0.62
DEN,20,10,6,0.6
CLE,20,12,7,0.58
ATL,20,7,4,0.57
MIL,20,12,6,0.5
UTA,20,12,6,0.5
PHI,20,12,6,0.5
CHO,20,9,4,0.44
MEM,20,8,3,0.38
DAL,20,11,4,0.36
IND,20,11,4,0.36
LAC,20,10,3,0.3
POR,20,7,2,0.29
WAS,20,8,2,0.25
SAC,20,9,2,0.22
NOP,20,11,2,0.18
BRK,20,10,1,0.1
