home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
BOS,ORL,0.6412479546015236,2.4,1.6,0,2026-04-12,,
CLE,WAS,0.6670424887424714,1.06,10.5,0,2026-04-12,,
IND,DET,0.5603736197019421,6.75,1.12,0,2026-04-12,,
MIA,ATL,0.1883395095532451,3.15,1.38,0,2026-04-12,,
NYK,CHO,0.7079743302566164,3.35,1.34,0,2026-04-12,,
PHI,MIL,0.5675332433260578,1.09,8.0,0,2026-04-12,,
TOR,BRK,0.7861928096890646,1.04,14.0,0,2026-04-12,,
DAL,CHI,0.4192912348713802,,,0,2026-04-12,,
HOU,MEM,0.8010972902793669,,,0,2026-04-12,,
LAC,GSW,0.6427955756017893,1.28,3.8,0,2026-04-12,,
LAL,UTA,0.5017492187824466,,,0,2026-04-12,,
MIN,NOP,0.639595436339708,,,0,2026-04-12,,
OKC,PHX,,,,0,2026-04-12,,
POR,SAC,0.7119671008780355,1.07,9.0,0,2026-04-12,,
SAS,DEN,0.6628969408557315,1.77,2.1,0,2026-04-12,,
