date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,kelly_full,kelly_fraction_used,stake_eur,exp_profit_eur,param_home_win_rate_threshold,param_odds_min,param_odds_max,param_prob_threshold,bankroll_at_bettime,fair_odds,edge_pct
2025-11-26,BOS,DET,0.56,0.8,0.75,2.24,68.0,0.548,0.1,139.05,94.55,0.5,1.1,3.4,0.4,1390.53,1.333,68.04
2025-11-26,GSW,HOU,0.86,0.741,0.741,1.68,24.44,0.359,0.1,139.05,33.99,0.5,1.1,3.4,0.4,1390.53,1.35,24.44
2025-11-26,MIA,MIL,0.89,0.741,0.741,1.31,-2.96,-0.096,0.0,0.0,-0.0,0.5,1.1,3.4,0.4,1390.53,1.35,-2.96
2025-11-26,OKC,MIN,1.0,1.0,0.75,1.22,-8.5,-0.386,0.0,0.0,-0.0,0.5,1.1,3.4,0.4,1390.53,1.333,-8.48
2025-11-26,TOR,IND,0.75,0.815,0.75,1.21,-9.25,-0.44,0.0,0.0,-0.0,0.5,1.1,3.4,0.4,1390.53,1.333,-9.23
