home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
PHI,MEM,0.5271741295867881,1.65,2.3,0,2026-03-10,,
ATL,DAL,0.7665170466081518,1.24,4.3,0,2026-03-10,,
BRK,DET,0.4341042198953746,8.5,1.08,0,2026-03-10,,
MIA,WAS,0.7366056037544673,1.09,8.0,0,2026-03-10,,
HOU,TOR,0.5460414308726544,1.49,2.7,0,2026-03-10,,
MIL,PHX,,,,0,2026-03-10,,
SAS,BOS,0.6940357337160773,1.68,2.24,0,2026-03-10,,
GSW,CHI,0.563936209690104,1.42,2.95,0,2026-03-10,,
POR,CHO,0.5161852438804586,2.3,1.65,0,2026-03-10,,
SAC,IND,0.4818083578840299,1.65,2.3,0,2026-03-10,,
LAL,MIN,0.7222950439602297,2.2,1.7,0,2026-03-10,,
