,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
SAS,20,8,7,0.88
PHO,20,7,6,0.86
CLE,20,8,6,0.75
DET,20,14,10,0.71
BOS,20,10,7,0.7
NYK,20,9,6,0.67
HOU,20,14,9,0.64
ORL,20,11,7,0.64
CHO,20,8,5,0.62
GSW,20,13,8,0.62
POR,20,13,8,0.62
OKC,20,10,6,0.6
LAC,20,7,4,0.57
MIL,20,9,5,0.56
NOP,20,9,5,0.56
PHI,20,9,5,0.56
MIN,20,11,6,0.55
DEN,20,11,6,0.55
LAL,20,11,6,0.55
ATL,20,10,5,0.5
IND,20,10,5,0.5
MIA,20,9,4,0.44
DAL,20,10,4,0.4
CHI,20,10,4,0.4
BRK,20,8,3,0.38
MEM,20,11,4,0.36
TOR,20,11,4,0.36
WAS,20,11,4,0.36
SAC,20,9,3,0.33
UTA,20,8,2,0.25
