home_team,away_team,home_team_prob,result,odds 1,odds 2,date
BOS,BRK,0.4744501914023506,0,1.09,8.0,2025-11-21
PHO,MIN,0.476297073601161,0,2.5,1.56,2025-11-21
UTA,OKC,0.4150325423638934,0,9.5,1.07,2025-11-21
TOR,WAS,0.48877017124998573,0,1.11,7.0,2025-11-21
GSW,POR,0.47227910460873884,0,1.32,3.5,2025-11-21
DAL,NOP,0.4598483039221982,0,1.56,2.5,2025-11-21
CLE,IND,0.48877017124998573,0,1.11,7.0,2025-11-21
HOU,DEN,0.476297073601161,0,1.7,2.2,2025-11-21
CHI,MIA,0.4498535139428425,0,1.7,2.2,2025-11-21
