home_team,away_team,home_team_prob,result,odds 1,odds 2,date
HOU,WAS,0.7904480641892877,0,1.06,10.0,2025-11-12
SAS,GSW,0.45002616043249977,0,1.6,2.4,2025-11-12
LAC,DEN,0.442844644163265,0,2.36,1.62,2025-11-12
CHO,MIL,0.22611085040327125,0,2.14,1.74,2025-11-12
DET,CHI,0.41215081579632873,0,2.02,1.82,2025-11-12
MIA,CLE,0.6297369441473967,0,1.44,2.85,2025-11-12
DAL,PHO,0.33475949231829744,0,1.95,1.87,2025-11-12
NOP,POR,0.13397934612988435,0,3.75,1.29,2025-11-12
OKC,LAL,0.6715979854536377,0,1.35,3.3,2025-11-12
SAC,ATL,0.3441203532235774,0,2.4,1.6,2025-11-12
NYK,ORL,0.5296712141647314,0,1.52,2.6,2025-11-12
BOS,MEM,0.5497365403386465,0,1.34,3.4,2025-11-12
