,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
GSW,17,5,5,1.0
OKC,16,7,7,1.0
NYK,14,9,8,0.89
DET,15,9,8,0.89
MIA,15,8,7,0.88
DEN,14,7,6,0.86
CHI,14,6,5,0.83
HOU,13,6,5,0.83
SAS,15,10,8,0.8
PHO,15,8,6,0.75
LAL,15,6,4,0.67
ORL,16,9,6,0.67
CLE,16,9,6,0.67
MIN,15,8,5,0.62
PHI,15,8,5,0.62
TOR,15,5,3,0.6
UTA,14,7,4,0.57
BOS,15,7,4,0.57
MIL,16,9,5,0.56
MEM,16,9,4,0.44
CHO,15,7,3,0.43
POR,15,7,3,0.43
LAC,15,8,3,0.38
ATL,16,6,2,0.33
SAC,16,7,2,0.29
IND,15,7,2,0.29
DAL,16,11,3,0.27
NOP,15,8,1,0.12
BRK,14,7,0,0.0
WAS,14,6,0,0.0
