date,home_team,away_team,home_win_rate,prob_iso,prob_used,odds_1,EV_€_per_100,win,pnl,won,profit_eur,stake_eur
2026-02-20,ATL,MIA,0.93,0.45695364238410596,0.45695364238410596,2.4,9.668874172185426,0,-100.0,0,-100.0,100.0
2026-02-21,NOP,PHI,0.7,0.4960000000000001,0.4960000000000001,2.3,14.080000000000014,1,129.99999999999997,1,129.99999999999997,100.0
2026-02-22,OKC,CLE,1.0,0.45695364238410596,0.45695364238410596,2.5,14.238410596026496,1,150.0,1,150.0,100.0
2026-02-22,LAL,BOS,0.91,0.6415094339622641,0.6415094339622641,2.1,34.716981132075475,0,-100.0,0,-100.0,100.0
2026-02-22,PHO,POR,0.55,0.6415094339622641,0.6415094339622641,2.36,51.396226415094326,0,-100.0,0,-100.0,100.0
2026-02-23,DET,SAS,0.8,0.694214876033058,0.694214876033058,1.8,24.958677685950438,0,-100.0,0,-100.0,100.0
2026-02-24,NOP,GSW,0.7,0.6415094339622641,0.6415094339622641,2.02,29.58490566037736,1,102.0,1,102.0,100.0
2026-02-28,MIA,HOU,0.67,0.4583333333333333,0.4583333333333333,2.14,-1.9166666666666665,1,114.00000000000001,1,114.00000000000001,100.0
2026-03-01,NYK,SAS,0.83,0.61,0.61,1.95,18.95,1,95.0,1,95.0,100.0
2026-03-03,CLE,DET,0.62,0.4960000000000001,0.4960000000000001,2.2,9.120000000000028,1,120.00000000000001,1,120.00000000000001,100.0
2026-03-04,NYK,OKC,0.83,0.7739130434782608,0.7739130434782608,2.45,89.60869565217394,0,-100.0,0,-100.0,100.0
2026-03-06,DEN,NYK,0.82,0.6323529411764706,0.6323529411764706,2.05,29.632352941176453,0,-100.0,0,-100.0,100.0
2026-03-08,LAL,NYK,0.91,0.45695364238410596,0.45695364238410596,2.3,5.099337748344368,1,129.99999999999997,1,129.99999999999997,100.0
2026-03-08,MIA,DET,0.67,0.694214876033058,0.694214876033058,2.1,45.78512396694219,1,110.00000000000001,1,110.00000000000001,100.0
2026-03-08,PHO,CHO,0.55,0.6323529411764706,0.6323529411764706,2.6,64.41176470588235,1,160.0,1,160.0,100.0
2026-03-09,LAC,NYK,0.58,0.694214876033058,0.694214876033058,2.2,52.72727272727277,1,120.00000000000001,1,120.00000000000001,100.0
2026-03-10,LAL,MIN,0.91,0.6415094339622641,0.6415094339622641,2.2,41.132075471698116,1,120.00000000000001,1,120.00000000000001,100.0
2026-03-10,POR,CHO,0.62,0.4960000000000001,0.4960000000000001,2.3,14.080000000000014,0,-100.0,0,-100.0,100.0
2026-03-11,NOP,TOR,0.7,0.694214876033058,0.694214876033058,2.2,52.72727272727277,1,120.00000000000001,1,120.00000000000001,100.0
2026-03-11,LAC,MIN,0.58,0.6415094339622641,0.6415094339622641,1.87,19.962264150943398,1,87.00000000000001,1,87.00000000000001,100.0
2026-03-14,LAL,DEN,0.91,0.694214876033058,0.694214876033058,2.3,59.66942148760332,1,129.99999999999997,1,129.99999999999997,100.0
2026-03-19,NOP,LAC,0.7,0.6323529411764706,0.6323529411764706,1.8,13.823529411764701,1,80.0,1,80.0,100.0
2026-03-22,PHO,TOR,0.55,0.7739130434782608,0.7739130434782608,2.36,82.64347826086956,1,136.0,1,136.0,100.0
2026-03-23,DET,LAL,0.8,0.6323529411764706,0.6323529411764706,2.02,27.735294117647058,1,102.0,1,102.0,100.0
2026-03-25,BOS,OKC,0.8,0.6415094339622641,0.6415094339622641,2.2,41.132075471698116,1,120.00000000000001,1,120.00000000000001,100.0
2026-03-26,CHO,NYK,0.64,0.6415094339622641,0.6415094339622641,1.83,17.39622641509434,1,83.0,1,83.0,100.0
2026-03-28,MIN,DET,0.64,0.4960000000000001,0.4960000000000001,2.05,1.6800000000000148,0,-100.0,0,-100.0,100.0
2026-03-30,ATL,BOS,0.93,0.61,0.61,1.82,11.019999999999996,1,82.0,1,82.0,100.0
2026-03-31,HOU,NYK,0.64,0.6415094339622641,0.6415094339622641,1.93,23.81132075471697,1,93.0,1,93.0,100.0
