home_team,away_team,date,side,prob,odds,stake
CHI,DET,2025-10-23,home-iso,0.5000,2.1700,1.5329
MEM,NOP,2025-10-23,home-iso,1.0000,1.5300,12.6600
MIL,WAS,2025-10-23,home-iso,1.0000,1.2200,12.6600
UTA,LAC,2025-10-23,home-iso,1.0000,1.2100,12.6600
