,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,20,9,9,1.0
DET,20,11,10,0.91
NYK,20,11,10,0.91
LAL,20,8,7,0.88
SAS,20,11,9,0.82
ORL,20,10,8,0.8
PHO,17,9,7,0.78
HOU,19,8,6,0.75
MIA,20,11,8,0.73
BOS,20,11,8,0.73
TOR,20,11,8,0.73
MIN,20,10,7,0.7
GSW,20,8,5,0.62
DEN,20,10,6,0.6
CLE,20,14,8,0.57
CHI,20,9,5,0.56
PHI,20,12,6,0.5
ATL,20,8,4,0.5
UTA,20,11,5,0.45
CHO,20,9,4,0.44
DAL,20,10,4,0.4
MEM,20,8,3,0.38
IND,20,11,4,0.36
MIL,20,11,4,0.36
POR,20,7,2,0.29
SAC,20,8,2,0.25
WAS,20,10,2,0.2
NOP,20,11,2,0.18
BRK,20,11,2,0.18
LAC,20,8,1,0.12
