home_team,away_team,home_team_prob,odds 1,odds 2,result,date,prob_live_safe,prob_used
WAS,MIA,0.3178152799719467,11.0,1.06,0,2026-04-10,,
CHO,DET,0.659574382323913,1.49,2.7,0,2026-04-10,,
ATL,CLE,0.62438589264527,1.29,3.7,0,2026-04-10,,
BOS,NOP,0.6958845076029766,1.06,10.5,0,2026-04-10,,
IND,PHI,0.6252156523458035,8.5,1.08,0,2026-04-10,,
NYK,TOR,0.5983604361172129,1.37,3.2,0,2026-04-10,,
CHI,ORL,0.3104902247302264,7.75,1.1,0,2026-04-10,,
MIL,BRK,0.48141558008216073,1.21,4.6,0,2026-04-10,,
SAS,DAL,0.7358126786982531,1.05,12.0,0,2026-04-10,,
DEN,OKC,0.35990299624553196,1.17,5.4,0,2026-04-10,,
HOU,MIN,0.7376196734236814,1.21,4.6,0,2026-04-10,,
UTA,MEM,0.42304667121166645,1.62,2.36,0,2026-04-10,,
POR,LAC,0.7325645562037011,1.87,1.95,0,2026-04-10,,
SAC,GSW,0.40061032787900563,4.7,1.21,0,2026-04-10,,
LAL,PHX,,,,0,2026-04-10,,
