run_date,setup,today_home_team,today_away_team,game_date,home_team,away_team,home_team_prob,home_win_rate,odds_1,odds_2,home_win,home_ml_pnl_100
2026-05-01,per_game_similar_bucket,TOR,CLE,2025-11-19,PHI,TOR,0.6635558086581727,0.55,2.14,1.74,0.0,-100.0
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-01-29,CHI,MIA,0.6611252577573963,0.6,2.1,1.77,0.0,-100.0
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-03-03,CLE,DET,0.616511490813082,0.6,2.2,1.7,1.0,120.00000000000001
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-03-11,ORL,CLE,0.6348601292402564,0.7,2.4,1.6,1.0,140.0
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-03-14,LAL,DEN,0.6713164358310432,0.6,2.3,1.65,1.0,129.99999999999997
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-03-25,BOS,OKC,0.6264718179693419,0.65,2.14,1.74,1.0,114.00000000000001
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-04-12,BOS,ORL,0.6412479546015236,0.65,2.4,1.6,1.0,140.0
2026-05-01,per_game_similar_bucket,TOR,CLE,2026-04-21,LAL,HOU,0.6636605773772359,0.6,2.6,1.52,1.0,160.0
2026-05-01,per_game_similar_bucket,ORL,DET,2026-01-29,CHI,MIA,0.6611252577573963,0.6,2.1,1.77,0.0,-100.0
2026-05-01,per_game_similar_bucket,ORL,DET,2026-03-03,CLE,DET,0.616511490813082,0.6,2.2,1.7,1.0,120.00000000000001
2026-05-01,per_game_similar_bucket,ORL,DET,2026-03-11,ORL,CLE,0.6348601292402564,0.7,2.4,1.6,1.0,140.0
2026-05-01,per_game_similar_bucket,ORL,DET,2026-03-14,LAL,DEN,0.6713164358310432,0.6,2.3,1.65,1.0,129.99999999999997
2026-05-01,per_game_similar_bucket,ORL,DET,2026-03-25,BOS,OKC,0.6264718179693419,0.65,2.14,1.74,1.0,114.00000000000001
2026-05-01,per_game_similar_bucket,ORL,DET,2026-04-12,BOS,ORL,0.6412479546015236,0.65,2.4,1.6,1.0,140.0
2026-05-01,per_game_similar_bucket,ORL,DET,2026-04-21,LAL,HOU,0.6636605773772359,0.6,2.6,1.52,1.0,160.0
2026-05-01,per_game_similar_bucket,ORL,DET,2026-04-25,MIN,DEN,0.6753288094336508,0.65,2.02,1.82,1.0,102.0
