home_team,away_team,home_team_prob,odds 1,odds 2,result,date
OKC,CLE,0.6679435749941155,2.54,1.54,0,2026-02-22
ATL,BRK,0.5258294423123733,1.24,4.2,0,2026-02-22
GSW,DEN,0.48793880650536453,3.0,1.41,0,2026-02-22
MIL,TOR,0.6195942210312163,2.3,1.65,0,2026-02-22
IND,DAL,0.559111866138641,2.1,1.77,0,2026-02-22
WAS,CHO,0.3552751316353956,5.4,1.17,0,2026-02-22
LAL,BOS,0.5448452545376012,2.1,1.77,0,2026-02-22
MIN,PHI,0.6489293703123746,1.28,3.8,0,2026-02-22
CHI,NYK,0.33469963849428364,4.6,1.21,0,2026-02-22
PHX,POR,,,,0,2026-02-22
LAC,ORL,0.5273605292456641,1.74,2.14,0,2026-02-22
