,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
PHO,20,7,6,0.86
SAS,20,9,7,0.78
POR,20,12,9,0.75
CLE,20,10,7,0.7
DET,20,13,9,0.69
BOS,20,12,8,0.67
NYK,20,9,6,0.67
MIN,20,11,7,0.64
ORL,20,11,7,0.64
CHI,20,8,5,0.62
LAC,20,8,5,0.62
HOU,20,12,7,0.58
GSW,20,14,8,0.57
LAL,20,9,5,0.56
IND,20,9,5,0.56
CHO,20,9,5,0.56
PHI,20,11,6,0.55
TOR,20,11,6,0.55
MIL,20,8,4,0.5
OKC,20,10,5,0.5
DEN,20,11,5,0.45
BRK,20,9,4,0.44
MIA,20,9,4,0.44
ATL,20,7,3,0.43
NOP,20,7,3,0.43
DAL,20,12,5,0.42
MEM,20,10,4,0.4
WAS,20,11,4,0.36
SAC,20,11,4,0.36
UTA,20,10,3,0.3
