home_team,away_team,home_team_prob,odds 1,odds 2,result,date
ORL,NOP,0.42230017179234536,1.39,3.1,0,2026-01-11
MEM,BRK,0.6654396478227638,1.38,3.15,0,2026-01-11
POR,NYK,0.590388194783254,2.6,1.52,0,2026-01-11
TOR,PHI,0.6570557477393704,2.5,1.56,0,2026-01-11
MIN,SAS,0.6098679533821959,1.7,2.2,0,2026-01-11
OKC,MIA,0.7450246279088562,1.12,6.75,0,2026-01-11
DEN,MIL,0.4851174192218706,2.14,1.74,0,2026-01-11
PHX,WAS,,,,0,2026-01-11
GSW,ATL,0.4696199546965662,1.46,2.8,0,2026-01-11
SAC,HOU,0.2746993136510532,6.0,1.14,0,2026-01-11
