home_team,away_team,home_team_prob,result,odds 1,odds 2,date
CLE,PHI,0.40880941050670805,0,1.24,4.2,2025-11-05
NYK,MIN,0.3817429486069926,0,1.65,2.3,2025-11-05
DET,UTA,0.4611287039128176,0,1.22,4.5,2025-11-05
BOS,WAS,0.6940763915748556,0,1.15,5.9,2025-11-05
MEM,HOU,0.3610039998133166,0,3.6,1.31,2025-11-05
DAL,NOP,0.3781703989260104,0,1.32,3.5,2025-11-05
DEN,MIA,0.5430899467056282,0,1.25,4.1,2025-11-05
SAC,GSW,0.3317997287037364,0,1.7,2.2,2025-11-05
IND,BRK,0.4517026491237075,0,1.37,3.2,2025-11-05
POR,OKC,0.5491635248860398,0,2.6,1.52,2025-11-05
LAL,SAS,0.3505523340480197,0,1.74,2.14,2025-11-05
