home_team,away_team,home_team_prob,odds 1,odds 2,result,date
BOS,DEN,0.7406260562275773,1.26,4.0,0,2026-01-07
CHO,TOR,0.5792070887905196,2.02,1.82,0,2026-01-07
DET,CHI,0.7411805718952099,1.21,4.7,0,2026-01-07
PHI,WAS,0.5258741628788626,1.15,5.7,0,2026-01-07
ATL,NOP,0.581290456887548,1.23,4.4,0,2026-01-07
BRK,ORL,0.6004975293276806,2.05,1.8,0,2026-01-07
NYK,LAC,0.5713336407220433,1.54,2.54,0,2026-01-07
MEM,PHX,,,,0,2026-01-07
OKC,UTA,0.715078011388064,1.08,8.5,0,2026-01-07
SAS,LAL,0.6125249295358323,1.36,3.25,0,2026-01-07
GSW,MIL,0.531912683480728,1.43,2.9,0,2026-01-07
POR,HOU,0.5103437913881915,3.15,1.38,0,2026-01-07
