,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
HOU,20,6,6,1.0
DAL,20,7,6,0.86
BOS,20,9,7,0.78
MIN,20,11,8,0.73
NYK,20,11,8,0.73
DEN,20,7,5,0.71
DET,20,10,7,0.7
OKC,20,13,9,0.69
PHO,20,6,4,0.67
GSW,20,11,7,0.64
SAS,20,8,5,0.62
ORL,20,8,5,0.62
MIL,20,7,4,0.57
LAL,20,11,6,0.55
POR,20,11,6,0.55
LAC,20,11,6,0.55
PHI,20,10,5,0.5
TOR,20,12,6,0.5
MEM,20,8,4,0.5
MIA,20,10,5,0.5
CLE,20,11,5,0.45
UTA,20,11,5,0.45
WAS,20,11,5,0.45
CHO,20,10,4,0.4
BRK,20,13,5,0.38
ATL,20,11,4,0.36
NOP,20,12,4,0.33
CHI,20,12,4,0.33
IND,20,12,3,0.25
SAC,20,10,2,0.2
