,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
DAL,20,7,6,0.86
MIN,20,11,9,0.82
PHO,18,10,8,0.8
HOU,20,5,4,0.8
BOS,20,9,7,0.78
DET,20,9,7,0.78
OKC,20,12,9,0.75
NYK,20,10,7,0.7
POR,20,11,7,0.64
LAL,20,11,7,0.64
SAS,20,8,5,0.62
LAC,20,10,6,0.6
GSW,20,12,7,0.58
MIL,20,7,4,0.57
ORL,20,9,5,0.56
PHI,20,10,5,0.5
WAS,20,12,6,0.5
DEN,20,8,4,0.5
UTA,20,11,5,0.45
TOR,20,11,5,0.45
MIA,20,9,4,0.44
MEM,20,9,4,0.44
CHO,20,10,4,0.4
BRK,20,13,5,0.38
CLE,20,11,4,0.36
NOP,20,11,4,0.36
CHI,20,12,4,0.33
ATL,20,10,3,0.3
SAC,20,11,3,0.27
IND,20,12,2,0.17
