,Total Last 20 Games,Total Home Games,Home Wins,Home Win Rate
OKC,15,6,6,1.0
GSW,16,5,5,1.0
NYK,13,9,8,0.89
DET,15,9,8,0.89
MIA,14,7,6,0.86
DEN,13,7,6,0.86
HOU,12,6,5,0.83
CHI,13,6,5,0.83
SAS,14,9,7,0.78
CLE,15,8,6,0.75
PHO,15,8,6,0.75
PHI,13,7,5,0.71
LAL,15,6,4,0.67
ORL,15,8,5,0.62
MIL,15,8,5,0.62
TOR,14,5,3,0.6
MIN,14,7,4,0.57
UTA,14,7,4,0.57
BOS,15,7,4,0.57
POR,14,6,3,0.5
CHO,14,7,3,0.43
LAC,14,8,3,0.38
MEM,15,8,3,0.38
ATL,15,6,2,0.33
DAL,15,10,3,0.3
SAC,14,7,2,0.29
IND,14,6,1,0.17
NOP,14,7,1,0.14
BRK,14,7,0,0.0
WAS,13,6,0,0.0
