n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
16,839.0,0.524375,0.6,1.6,2.5,0.6
16,839.0,0.524375,0.6,1.6,2.5,0.65
16,839.0,0.524375,0.6,1.6,2.5,0.7
16,839.0,0.524375,0.6,1.6,3.0,0.6
16,839.0,0.524375,0.6,1.6,3.0,0.65
16,839.0,0.524375,0.6,1.6,3.0,0.7
16,839.0,0.524375,0.65,1.6,2.5,0.6
16,839.0,0.524375,0.65,1.6,2.5,0.65
16,839.0,0.524375,0.65,1.6,2.5,0.7
16,839.0,0.524375,0.65,1.6,3.0,0.6
16,839.0,0.524375,0.65,1.6,3.0,0.65
16,839.0,0.524375,0.65,1.6,3.0,0.7
22,1108.0,0.5036363636363637,0.5,1.6,3.0,0.7
19,933.0,0.49105263157894735,0.6,1.6,2.5,0.55
19,933.0,0.49105263157894735,0.65,1.6,2.5,0.55
18,859.0,0.4772222222222222,0.55,1.6,2.5,0.7
18,859.0,0.4772222222222222,0.55,1.6,3.0,0.7
12,534.0,0.445,0.6,1.6,2.1,0.6
12,534.0,0.445,0.6,1.6,2.1,0.65
12,534.0,0.445,0.6,1.6,2.1,0.7
12,534.0,0.445,0.65,1.6,2.1,0.6
12,534.0,0.445,0.65,1.6,2.1,0.65
12,534.0,0.445,0.65,1.6,2.1,0.7
21,918.0,0.43714285714285717,0.5,1.6,2.5,0.7
15,628.0,0.4186666666666667,0.6,1.6,2.1,0.55
15,628.0,0.4186666666666667,0.65,1.6,2.1,0.55
20,833.0,0.4165,0.6,1.6,3.0,0.55
20,833.0,0.4165,0.65,1.6,3.0,0.55
20,824.0,0.412,0.55,1.6,2.5,0.6
20,824.0,0.412,0.55,1.6,2.5,0.65
20,824.0,0.412,0.55,1.6,3.0,0.6
20,824.0,0.412,0.55,1.6,3.0,0.65
23,918.0,0.3991304347826087,0.55,1.6,2.5,0.55
11,432.0,0.3927272727272727,0.6,1.6,2.0,0.6
11,432.0,0.3927272727272727,0.6,1.6,2.0,0.65
11,432.0,0.3927272727272727,0.6,1.6,2.0,0.7
11,432.0,0.3927272727272727,0.65,1.6,2.0,0.6
11,432.0,0.3927272727272727,0.65,1.6,2.0,0.65
11,432.0,0.3927272727272727,0.65,1.6,2.0,0.7
25,973.0,0.3892,0.5,1.6,3.0,0.6
25,973.0,0.3892,0.5,1.6,3.0,0.65
25,964.0,0.3856,0.65,1.4,2.5,0.6
25,964.0,0.3856,0.65,1.4,2.5,0.65
25,964.0,0.3856,0.65,1.4,2.5,0.7
25,964.0,0.3856,0.65,1.4,3.0,0.6
25,964.0,0.3856,0.65,1.4,3.0,0.65
25,964.0,0.3856,0.65,1.4,3.0,0.7
14,499.0,0.35642857142857143,0.55,1.6,2.1,0.6
14,499.0,0.35642857142857143,0.55,1.6,2.1,0.65
17,593.0,0.3488235294117647,0.55,1.6,2.1,0.55
32,1107.0,0.3459375,0.65,1.4,2.5,0.55
24,818.0,0.3408333333333333,0.55,1.6,3.0,0.55
13,434.0,0.33384615384615385,0.55,1.6,2.1,0.7
41,1350.0,0.32926829268292684,0.65,1.25,2.5,0.6
41,1350.0,0.32926829268292684,0.65,1.25,2.5,0.65
41,1350.0,0.32926829268292684,0.65,1.25,3.0,0.6
41,1350.0,0.32926829268292684,0.65,1.25,3.0,0.65
38,1248.0,0.32842105263157895,0.65,1.25,2.5,0.7
38,1248.0,0.32842105263157895,0.65,1.25,3.0,0.7
24,783.0,0.32625,0.5,1.6,2.5,0.6
24,783.0,0.32625,0.5,1.6,2.5,0.65
13,421.0,0.32384615384615384,0.6,1.6,2.0,0.55
13,421.0,0.32384615384615384,0.65,1.6,2.0,0.55
21,659.0,0.3138095238095238,0.65,1.4,2.1,0.6
21,659.0,0.3138095238095238,0.65,1.4,2.1,0.65
21,659.0,0.3138095238095238,0.65,1.4,2.1,0.7
16,493.0,0.308125,0.5,1.6,2.1,0.7
13,397.0,0.30538461538461537,0.55,1.6,2.0,0.6
13,397.0,0.30538461538461537,0.55,1.6,2.0,0.65
33,1007.0,0.3051515151515152,0.65,1.4,3.0,0.55
38,1115.0,0.29342105263157897,0.5,1.4,3.0,0.7
28,802.0,0.2864285714285714,0.65,1.4,2.1,0.55
51,1458.0,0.2858823529411765,0.65,1.25,2.5,0.55
37,1045.0,0.28243243243243243,0.65,1.25,2.1,0.6
37,1045.0,0.28243243243243243,0.65,1.25,2.1,0.65
20,557.0,0.2785,0.65,1.4,2.0,0.6
20,557.0,0.2785,0.65,1.4,2.0,0.65
20,557.0,0.2785,0.65,1.4,2.0,0.7
34,943.0,0.2773529411764706,0.65,1.25,2.1,0.7
12,332.0,0.27666666666666667,0.55,1.6,2.0,0.7
36,943.0,0.2619444444444444,0.65,1.25,2.0,0.6
36,943.0,0.2619444444444444,0.65,1.25,2.0,0.65
52,1358.0,0.2611538461538462,0.65,1.25,3.0,0.55
15,391.0,0.26066666666666666,0.5,1.6,2.0,0.7
15,386.0,0.25733333333333336,0.55,1.6,2.0,0.55
33,841.0,0.2548484848484848,0.65,1.25,2.0,0.7
18,458.0,0.2544444444444444,0.5,1.6,2.1,0.6
18,458.0,0.2544444444444444,0.5,1.6,2.1,0.65
67,1677.0,0.25029850746268656,0.65,1.1,2.5,0.6
67,1677.0,0.25029850746268656,0.65,1.1,2.5,0.65
67,1677.0,0.25029850746268656,0.65,1.1,3.0,0.6
67,1677.0,0.25029850746268656,0.65,1.1,3.0,0.65
37,925.0,0.25,0.5,1.4,2.5,0.7
30,749.0,0.24966666666666668,0.6,1.4,2.5,0.6
30,749.0,0.24966666666666668,0.6,1.4,2.5,0.65
30,749.0,0.24966666666666668,0.6,1.4,2.5,0.7
30,749.0,0.24966666666666668,0.6,1.4,3.0,0.6
30,749.0,0.24966666666666668,0.6,1.4,3.0,0.65
30,749.0,0.24966666666666668,0.6,1.4,3.0,0.7
63,1564.0,0.24825396825396825,0.65,1.1,2.5,0.7
63,1564.0,0.24825396825396825,0.65,1.1,3.0,0.7
33,815.0,0.24696969696969698,0.55,1.4,2.5,0.7
33,815.0,0.24696969696969698,0.55,1.4,3.0,0.7
47,1153.0,0.2453191489361702,0.65,1.25,2.1,0.55
38,932.0,0.24526315789473685,0.6,1.4,2.5,0.55
41,980.0,0.23902439024390243,0.5,1.4,3.0,0.6
41,980.0,0.23902439024390243,0.5,1.4,3.0,0.65
33,769.0,0.23303030303030303,0.5,1.6,3.0,0.55
26,595.0,0.22884615384615384,0.65,1.4,2.0,0.55
43,963.0,0.22395348837209303,0.55,1.4,2.5,0.55
35,780.0,0.22285714285714286,0.55,1.4,2.5,0.6
35,780.0,0.22285714285714286,0.55,1.4,2.5,0.65
35,780.0,0.22285714285714286,0.55,1.4,3.0,0.6
35,780.0,0.22285714285714286,0.55,1.4,3.0,0.65
47,1035.0,0.22021276595744682,0.6,1.25,2.5,0.6
47,1035.0,0.22021276595744682,0.6,1.25,2.5,0.65
47,1035.0,0.22021276595744682,0.6,1.25,3.0,0.6
47,1035.0,0.22021276595744682,0.6,1.25,3.0,0.65
31,679.0,0.21903225806451612,0.5,1.6,2.5,0.55
63,1372.0,0.21777777777777776,0.65,1.1,2.1,0.6
63,1372.0,0.21777777777777776,0.65,1.1,2.1,0.65
80,1719.0,0.214875,0.65,1.1,2.5,0.55
59,1259.0,0.21338983050847457,0.65,1.1,2.1,0.7
39,832.0,0.21333333333333335,0.6,1.4,3.0,0.55
44,933.0,0.21204545454545454,0.6,1.25,2.5,0.7
44,933.0,0.21204545454545454,0.6,1.25,3.0,0.7
59,1245.0,0.21101694915254238,0.5,1.25,3.0,0.7
45,946.0,0.21022222222222223,0.65,1.25,2.0,0.55
17,355.99999999999994,0.20941176470588233,0.5,1.6,2.0,0.6
17,355.99999999999994,0.20941176470588233,0.5,1.6,2.0,0.65
60,1246.0,0.20766666666666667,0.6,1.25,2.5,0.55
62,1270.0,0.20483870967741935,0.65,1.1,2.0,0.6
62,1270.0,0.20483870967741935,0.65,1.1,2.0,0.65
81,1619.0,0.19987654320987655,0.65,1.1,3.0,0.55
58,1157.0,0.19948275862068965,0.65,1.1,2.0,0.7
40,790.0,0.1975,0.5,1.4,2.5,0.6
40,790.0,0.1975,0.5,1.4,2.5,0.65
44,863.0,0.19613636363636364,0.55,1.4,3.0,0.55
49,927.0,0.18918367346938775,0.55,1.25,2.5,0.7
49,927.0,0.18918367346938775,0.55,1.25,3.0,0.7
24,454.0,0.18916666666666668,0.5,1.6,2.1,0.55
61,1146.0,0.18786885245901638,0.6,1.25,3.0,0.55
73,1362.0000000000002,0.18657534246575347,0.6,1.1,2.5,0.6
73,1362.0000000000002,0.18657534246575347,0.6,1.1,2.5,0.65
73,1362.0000000000002,0.18657534246575347,0.6,1.1,3.0,0.6
73,1362.0000000000002,0.18657534246575347,0.6,1.1,3.0,0.65
65,1212.0,0.18646153846153846,0.5,1.25,3.0,0.6
65,1212.0,0.18646153846153846,0.5,1.25,3.0,0.65
76,1414.0,0.18605263157894736,0.65,1.1,2.1,0.55
34,627.0,0.18441176470588236,0.6,1.4,2.1,0.55
54,994.0,0.18407407407407408,0.55,1.25,2.5,0.6
54,994.0,0.18407407407407408,0.55,1.25,2.5,0.65
54,994.0,0.18407407407407408,0.55,1.25,3.0,0.6
54,994.0,0.18407407407407408,0.55,1.25,3.0,0.65
58,1055.0,0.18189655172413793,0.5,1.25,2.5,0.7
69,1249.0,0.1810144927536232,0.6,1.1,2.5,0.7
69,1249.0,0.1810144927536232,0.6,1.1,3.0,0.7
67,1205.0,0.1798507462686567,0.55,1.25,2.5,0.55
37,638.0,0.17243243243243242,0.55,1.4,2.1,0.55
56,960.0,0.17142857142857143,0.5,1.4,3.0,0.55
26,444.0,0.17076923076923076,0.6,1.4,2.1,0.6
26,444.0,0.17076923076923076,0.6,1.4,2.1,0.65
26,444.0,0.17076923076923076,0.6,1.4,2.1,0.7
43,730.0,0.1697674418604651,0.6,1.25,2.1,0.6
43,730.0,0.1697674418604651,0.6,1.25,2.1,0.65
