n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
8,684.0,0.855,0.65,1.6,2.5,0.7
8,684.0,0.855,0.65,1.6,3.0,0.7
6,446.0,0.7433333333333333,0.65,1.6,2.1,0.7
13,954.0,0.7338461538461538,0.65,1.6,2.5,0.65
13,954.0,0.7338461538461538,0.65,1.6,3.0,0.65
5,344.0,0.688,0.65,1.6,2.0,0.7
16,1013.0,0.633125,0.65,1.6,2.5,0.55
16,1013.0,0.633125,0.65,1.6,3.0,0.55
15,924.0,0.616,0.65,1.6,2.5,0.6
15,924.0,0.616,0.65,1.6,3.0,0.6
12,730.0,0.6083333333333333,0.65,1.6,2.1,0.55
11,641.0,0.5827272727272728,0.65,1.6,2.1,0.6
10,571.0,0.571,0.65,1.6,2.1,0.65
11,628.0,0.5709090909090909,0.65,1.6,2.0,0.55
10,539.0,0.539,0.65,1.6,2.0,0.6
9,469.0,0.5211111111111111,0.65,1.6,2.0,0.65
23,1109.0,0.4821739130434783,0.6,1.6,2.5,0.65
23,1109.0,0.4821739130434783,0.6,1.6,3.0,0.65
12,578.0,0.4816666666666667,0.65,1.4,2.5,0.7
12,578.0,0.4816666666666667,0.65,1.4,3.0,0.7
30,1288.0,0.42933333333333334,0.55,1.6,3.0,0.65
18,748.0,0.41555555555555557,0.65,1.4,2.5,0.65
18,748.0,0.41555555555555557,0.65,1.4,3.0,0.65
16,664.0,0.415,0.6,1.6,2.5,0.7
16,664.0,0.415,0.6,1.6,3.0,0.7
26,1059.0,0.4073076923076923,0.65,1.4,2.5,0.55
26,1059.0,0.4073076923076923,0.65,1.4,3.0,0.55
30,1209.0,0.403,0.6,1.6,2.5,0.55
18,690.0,0.38333333333333336,0.6,1.6,2.1,0.65
31,1188.0,0.3832258064516129,0.5,1.6,3.0,0.65
29,1098.0,0.3786206896551724,0.55,1.6,2.5,0.65
18,655.0,0.3638888888888889,0.55,1.6,2.5,0.7
18,655.0,0.3638888888888889,0.55,1.6,3.0,0.7
33,1194.0,0.3618181818181818,0.6,1.6,3.0,0.55
20,718.0,0.359,0.65,1.4,2.5,0.6
20,718.0,0.359,0.65,1.4,3.0,0.6
18,637.0,0.35388888888888886,0.65,1.25,2.5,0.7
18,637.0,0.35388888888888886,0.65,1.25,3.0,0.7
22,776.0,0.3527272727272727,0.65,1.4,2.1,0.55
17,588.0,0.3458823529411765,0.6,1.6,2.0,0.65
33,1134.0,0.34363636363636363,0.6,1.4,2.5,0.65
33,1134.0,0.34363636363636363,0.6,1.4,3.0,0.65
10,340.0,0.34,0.65,1.4,2.1,0.7
30,998.0,0.33266666666666667,0.5,1.6,2.5,0.65
35,1163.0,0.3322857142857143,0.55,1.6,3.0,0.6
23,754.0,0.3278260869565217,0.6,1.6,2.1,0.55
27,879.0,0.32555555555555554,0.6,1.6,2.5,0.6
27,879.0,0.32555555555555554,0.6,1.6,3.0,0.6
12,390.0,0.325,0.6,1.6,2.1,0.7
20,647.0,0.3235,0.6,1.6,2.0,0.55
46,1480.0,0.3217391304347826,0.55,1.6,3.0,0.55
21,674.0,0.32095238095238093,0.65,1.4,2.0,0.55
48,1478.0,0.30791666666666667,0.6,1.4,2.5,0.55
24,738.0,0.3075,0.6,1.4,2.5,0.7
24,738.0,0.3075,0.6,1.4,3.0,0.7
43,1321.0,0.3072093023255814,0.55,1.4,3.0,0.65
36,1063.0,0.29527777777777775,0.5,1.6,3.0,0.6
22,649.0,0.295,0.5,1.6,2.1,0.65
22,649.0,0.295,0.55,1.6,2.1,0.65
32,940.0,0.29375,0.65,1.25,2.5,0.65
32,940.0,0.29375,0.65,1.25,3.0,0.65
