min_home_win_rate,min_odds,max_odds,min_iso_proba,n_bets,n_wins,win_rate,total_profit_flat,roi_flat_per_bet,total_profit_kelly,roi_kelly,brier_before,brier_after,logloss_before,logloss_after
0.5,1.2,1.7,0.55,29,22,0.7586206896551724,1.53,0.05275862068965517,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.7,0.6,29,22,0.7586206896551724,1.53,0.05275862068965517,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.7,0.65,26,19,0.7307692307692307,0.7500000000000002,0.028846153846153855,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.7,0.7,26,19,0.7307692307692307,0.7500000000000002,0.028846153846153855,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.8,0.55,30,22,0.7333333333333333,0.53,0.017666666666666667,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.8,0.6,30,22,0.7333333333333333,0.53,0.017666666666666667,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.8,0.65,27,19,0.7037037037037037,-0.24999999999999978,-0.009259259259259252,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.8,0.7,27,19,0.7037037037037037,-0.24999999999999978,-0.009259259259259252,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.9,0.55,31,23,0.7419354838709677,1.4000000000000001,0.04516129032258065,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.9,0.6,31,23,0.7419354838709677,1.4000000000000001,0.04516129032258065,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.9,0.65,28,20,0.7142857142857143,0.6200000000000003,0.022142857142857155,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,1.9,0.7,28,20,0.7142857142857143,0.6200000000000003,0.022142857142857155,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,2.1,0.55,33,25,0.7575757575757576,3.45,0.10454545454545455,261.42333986774815,0.26142333986774813,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,2.1,0.6,33,25,0.7575757575757576,3.45,0.10454545454545455,261.42333986774815,0.26142333986774813,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,2.1,0.65,30,22,0.7333333333333333,2.67,0.089,261.42333986774815,0.26142333986774813,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.2,2.1,0.7,30,22,0.7333333333333333,2.67,0.089,261.42333986774815,0.26142333986774813,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.7,0.55,26,20,0.7692307692307693,2.0900000000000003,0.0803846153846154,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.7,0.6,26,20,0.7692307692307693,2.0900000000000003,0.0803846153846154,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.7,0.65,24,18,0.75,1.5300000000000002,0.06375000000000001,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.7,0.7,24,18,0.75,1.5300000000000002,0.06375000000000001,60.80081736474426,0.06080081736474426,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.8,0.55,27,20,0.7407407407407407,1.0900000000000003,0.04037037037037038,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.8,0.6,27,20,0.7407407407407407,1.0900000000000003,0.04037037037037038,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.8,0.65,25,18,0.72,0.5300000000000002,0.02120000000000001,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.8,0.7,25,18,0.72,0.5300000000000002,0.02120000000000001,-45.27926437172994,-0.04527926437172994,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.9,0.55,28,21,0.75,1.9600000000000004,0.07000000000000002,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.9,0.6,28,21,0.75,1.9600000000000004,0.07000000000000002,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
0.5,1.25,1.9,0.65,26,19,0.7307692307692307,1.4000000000000004,0.05384615384615386,37.781439627928876,0.037781439627928876,0.22984305947801237,0.21066267577542802,0.6511221687767501,0.6039143088580547
