n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
6,456.0,0.76,0.65,1.6,2.1,0.7
5,354.0,0.708,0.65,1.6,2.0,0.7
9,616.0,0.6844444444444444,0.65,1.6,2.5,0.7
9,616.0,0.6844444444444444,0.65,1.6,3.0,0.7
13,828.0,0.6369230769230769,0.65,1.6,2.1,0.55
15,939.0,0.626,0.65,1.6,2.5,0.65
15,939.0,0.626,0.65,1.6,3.0,0.65
11,634.0,0.5763636363636364,0.65,1.6,2.1,0.6
11,634.0,0.5763636363636364,0.65,1.6,2.1,0.65
18,1033.0,0.5738888888888889,0.65,1.6,2.5,0.55
11,621.0,0.5645454545454546,0.65,1.6,2.0,0.55
10,532.0,0.532,0.65,1.6,2.0,0.6
10,532.0,0.532,0.65,1.6,2.0,0.65
16,839.0,0.524375,0.65,1.6,2.5,0.6
16,839.0,0.524375,0.65,1.6,3.0,0.6
11,556.0,0.5054545454545455,0.65,1.4,2.5,0.7
11,556.0,0.5054545454545455,0.65,1.4,3.0,0.7
8,396.0,0.495,0.65,1.4,2.1,0.7
19,933.0,0.49105263157894735,0.65,1.6,3.0,0.55
18,816.0,0.4533333333333333,0.6,1.6,2.5,0.65
18,816.0,0.4533333333333333,0.6,1.6,3.0,0.65
16,709.0,0.443125,0.65,1.25,2.5,0.7
16,709.0,0.443125,0.65,1.25,3.0,0.7
16,705.0,0.440625,0.6,1.6,2.1,0.55
21,910.0,0.43333333333333335,0.6,1.6,2.5,0.55
23,995.0,0.4326086956521739,0.6,1.6,3.0,0.55
13,549.0,0.42230769230769233,0.65,1.25,2.1,0.7
7,294.0,0.42,0.65,1.4,2.0,0.7
12,493.0,0.41083333333333333,0.6,1.6,2.5,0.7
12,493.0,0.41083333333333333,0.6,1.6,3.0,0.7
22,830.0,0.37727272727272726,0.65,1.4,2.5,0.65
22,830.0,0.37727272727272726,0.65,1.4,3.0,0.65
19,716.0,0.37684210526315787,0.6,1.6,2.5,0.6
19,716.0,0.37684210526315787,0.6,1.6,3.0,0.6
