n_bets,total_profit,roi_per_bet,min_home_win_rate,min_odds,max_odds,min_iso_proba
35,1276.0,0.36457142857142855,0.65,1.4,3.0,0.6
56,2034.0,0.3632142857142857,0.5,1.25,3.0,0.7
61,2199.0,0.3604918032786885,0.6,1.25,3.0,0.55
61,2199.0,0.3604918032786885,0.6,1.25,3.0,0.6
27,971.0,0.35962962962962963,0.65,1.4,2.5,0.65
68,2437.0,0.3583823529411765,0.5,1.25,2.5,0.55
68,2437.0,0.3583823529411765,0.5,1.25,2.5,0.6
26,931.0,0.35807692307692307,0.65,1.4,2.5,0.7
49,1753.0,0.35775510204081634,0.6,1.25,2.5,0.65
70,2497.0,0.3567142857142857,0.5,1.25,3.0,0.55
70,2497.0,0.3567142857142857,0.5,1.25,3.0,0.6
47,1659.0,0.35297872340425535,0.6,1.25,2.5,0.7
64,2253.0,0.35203125,0.55,1.25,2.5,0.55
64,2253.0,0.35203125,0.55,1.25,2.5,0.6
17,586.0,0.3447058823529412,0.5,1.6,2.1,0.55
17,586.0,0.3447058823529412,0.5,1.6,2.1,0.6
10,344.0,0.344,0.55,1.6,2.0,0.65
10,344.0,0.344,0.55,1.6,2.0,0.7
45,1531.0,0.3402222222222222,0.65,1.25,3.0,0.65
60,2039.0,0.3398333333333333,0.6,1.25,2.5,0.55
60,2039.0,0.3398333333333333,0.6,1.25,2.5,0.6
44,1491.0,0.33886363636363637,0.65,1.25,3.0,0.7
34,1116.0,0.32823529411764707,0.65,1.4,2.5,0.55
34,1116.0,0.32823529411764707,0.65,1.4,2.5,0.6
55,1771.0,0.322,0.65,1.25,3.0,0.55
55,1771.0,0.322,0.65,1.25,3.0,0.6
24,755.0,0.3145833333333333,0.6,1.4,2.1,0.65
44,1371.0,0.3115909090909091,0.65,1.25,2.5,0.65
43,1331.0,0.30953488372093024,0.65,1.25,2.5,0.7
23,701.0,0.30478260869565216,0.65,1.4,2.1,0.65
22,660.9999999999999,0.3004545454545454,0.6,1.4,2.1,0.7
22,660.9999999999999,0.3004545454545454,0.65,1.4,2.1,0.7
54,1611.0,0.29833333333333334,0.65,1.25,2.5,0.55
54,1611.0,0.29833333333333334,0.65,1.25,2.5,0.6
26,742.0,0.2853846153846154,0.5,1.4,2.1,0.65
85,2420.0,0.2847058823529412,0.55,1.1,3.0,0.65
23,653.0,0.28391304347826085,0.6,1.4,2.0,0.65
68,1926.0,0.2832352941176471,0.65,1.1,3.0,0.65
43,1214.0,0.28232558139534886,0.6,1.25,2.1,0.65
67,1886.0,0.2814925373134328,0.65,1.1,3.0,0.7
83,2326.0,0.2802409638554217,0.55,1.1,3.0,0.7
15,416.0,0.2773333333333333,0.55,1.6,2.1,0.55
15,416.0,0.2773333333333333,0.55,1.6,2.1,0.6
80,2203.0,0.275375,0.65,1.1,3.0,0.55
80,2203.0,0.275375,0.65,1.1,3.0,0.6
40,1101.0,0.27525,0.65,1.25,2.1,0.65
41,1120.0,0.2731707317073171,0.6,1.25,2.1,0.7
81,2206.0,0.2723456790123457,0.6,1.1,3.0,0.65
22,599.0,0.2722727272727273,0.65,1.4,2.0,0.65
39,1061.0,0.27205128205128204,0.65,1.25,2.1,0.7
89,2421.0,0.27202247191011236,0.5,1.1,3.0,0.65
87,2361.0,0.2713793103448276,0.5,1.1,2.5,0.65
24,648.0,0.27,0.5,1.4,2.1,0.7
84,2260.0,0.26904761904761904,0.55,1.1,2.5,0.65
46,1235.0,0.2684782608695652,0.5,1.25,2.1,0.65
87,2327.0,0.2674712643678161,0.5,1.1,3.0,0.7
79,2112.0,0.26734177215189875,0.6,1.1,3.0,0.7
99,2643.0,0.26696969696969697,0.55,1.1,3.0,0.55
99,2643.0,0.26696969696969697,0.55,1.1,3.0,0.6
85,2267.0,0.2667058823529412,0.5,1.1,2.5,0.7
21,559.0,0.2661904761904762,0.6,1.4,2.0,0.7
21,559.0,0.2661904761904762,0.65,1.4,2.0,0.7
42,1112.0,0.26476190476190475,0.6,1.25,2.0,0.65
82,2166.0,0.26414634146341465,0.55,1.1,2.5,0.7
67,1766.0,0.26358208955223883,0.65,1.1,2.5,0.65
104,2727.0,0.26221153846153844,0.5,1.1,3.0,0.55
104,2727.0,0.26221153846153844,0.5,1.1,3.0,0.6
25,655.0,0.262,0.55,1.4,2.1,0.65
66,1726.0,0.26151515151515153,0.65,1.1,2.5,0.7
102,2667.0,0.2614705882352941,0.5,1.1,2.5,0.55
102,2667.0,0.2614705882352941,0.5,1.1,2.5,0.6
44,1141.0,0.25931818181818184,0.5,1.25,2.1,0.7
79,2043.0,0.2586075949367089,0.65,1.1,2.5,0.55
79,2043.0,0.2586075949367089,0.65,1.1,2.5,0.6
12,309.0,0.2575,0.6,1.6,2.0,0.55
12,309.0,0.2575,0.6,1.6,2.0,0.6
12,309.0,0.2575,0.65,1.6,2.0,0.55
12,309.0,0.2575,0.65,1.6,2.0,0.6
39,999.0,0.2561538461538462,0.65,1.25,2.0,0.65
25,640.0,0.256,0.5,1.4,2.0,0.65
80,2046.0,0.25575,0.6,1.1,2.5,0.65
95,2429.0,0.2556842105263158,0.6,1.1,3.0,0.55
95,2429.0,0.2556842105263158,0.6,1.1,3.0,0.6
45,1148.0,0.2551111111111111,0.55,1.25,2.1,0.65
40,1018.0,0.2545,0.6,1.25,2.0,0.7
98,2483.0,0.2533673469387755,0.55,1.1,2.5,0.55
98,2483.0,0.2533673469387755,0.55,1.1,2.5,0.6
15,379.0,0.25266666666666665,0.5,1.6,2.0,0.55
15,379.0,0.25266666666666665,0.5,1.6,2.0,0.6
38,959.0,0.2523684210526316,0.65,1.25,2.0,0.7
45,1133.0,0.25177777777777777,0.5,1.25,2.0,0.65
78,1952.0,0.25025641025641027,0.6,1.1,2.5,0.7
43,1054.0,0.24511627906976743,0.55,1.25,2.1,0.7
23,561.0,0.24391304347826087,0.55,1.4,2.1,0.7
43,1039.0,0.2416279069767442,0.5,1.25,2.0,0.7
94,2269.0,0.24138297872340425,0.6,1.1,2.5,0.55
94,2269.0,0.24138297872340425,0.6,1.1,2.5,0.6
44,1046.0,0.23772727272727273,0.55,1.25,2.0,0.65
63,1496.0,0.23746031746031745,0.65,1.1,2.1,0.65
23,546.0,0.2373913043478261,0.5,1.4,2.0,0.7
56,1329.0,0.23732142857142857,0.5,1.25,2.1,0.55
56,1329.0,0.23732142857142857,0.5,1.25,2.1,0.6
52,1225.0,0.23557692307692307,0.6,1.25,2.1,0.55
52,1225.0,0.23557692307692307,0.6,1.25,2.1,0.6
62,1456.0,0.23483870967741935,0.65,1.1,2.1,0.7
24,553.0,0.23041666666666666,0.55,1.4,2.0,0.65
42,952.0,0.22666666666666666,0.55,1.25,2.0,0.7
62,1394.0,0.22483870967741937,0.65,1.1,2.0,0.65
33,741.0,0.22454545454545455,0.5,1.4,2.1,0.55
33,741.0,0.22454545454545455,0.5,1.4,2.1,0.6
30,671.0,0.22366666666666668,0.6,1.4,2.1,0.55
30,671.0,0.22366666666666668,0.6,1.4,2.1,0.6
48,1066.0,0.22208333333333333,0.65,1.25,2.1,0.55
48,1066.0,0.22208333333333333,0.65,1.25,2.1,0.6
61,1354.0,0.2219672131147541,0.65,1.1,2.0,0.7
54,1159.0,0.21462962962962964,0.55,1.25,2.1,0.55
54,1159.0,0.21462962962962964,0.55,1.25,2.1,0.6
22,459.0,0.20863636363636365,0.55,1.4,2.0,0.7
54,1122.0,0.20777777777777778,0.5,1.25,2.0,0.55
