target_date,game_date,home_team,away_team,home_prob_raw,away_prob_raw,home_odds,away_odds,home_implied_raw,away_implied_raw,home_implied_devig,away_implied_devig,home_ev_raw_per_100,away_ev_raw_per_100,prob_used,home_ev_prob_used_per_100,prob_live_safe,prob_iso_oos_time,market_implied_p_devig,model_market_gap,model_market_gap_flag,blocked_by,home_win_rate,canonical_signal,canonical_reason,canonical_export_status,stage1_bucket,stage1_reason,allowed_review_type,source_daily_file,source_combined_file
2026-05-01,2025-10-21,OKC,HOU,0.5314516298892457,0.46854837011075434,1.31,3.6,0.7633587786259541,0.2777777777777778,0.7331975560081467,0.26680244399185343,-30.379836484508814,68.67741323987158,0.6866176771476018,-10.05308429366416,0.5094339622641508,0.5,0.7331975560081467,-0.2237635937439959,False,PASS,0.8,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-21,LAL,GSW,0.3669372941889376,0.6330627058110624,2.1,1.77,0.47619047619047616,0.5649717514124294,0.4573643410852713,0.5426356589147286,-22.943168220323095,12.052098928558053,0.4293091454154126,-9.845079462763351,0.2828282828282828,0.3066666666666666,0.4573643410852713,-0.1073643410852713,False,PASS,0.6,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,POR,MIN,0.4301687006041267,0.5698312993958733,2.75,1.6,0.36363636363636365,0.625,0.367816091954023,0.632183908045977,18.296392666134853,-8.82699209666027,0.39716149621515,9.219411459166249,0.4540540540540541,0.4595744680851064,0.367816091954023,0.0862379621000311,False,PASS,0.5,False,official_shortlist_empty,empty_source_dataframe,LIVE_WATCH_ONLY,interesting raw edge needs game-flow confirmation,live_watch_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,NYK,CLE,0.489762379089478,0.5102376209105219,1.62,2.5,0.6172839506172839,0.4,0.6067961165048543,0.3932038834951457,-20.65849458750456,27.559405227630496,0.5841616264461251,-5.365816515727728,0.4540540540540541,0.4595744680851064,0.6067961165048543,-0.1527420624508002,False,PASS,0.75,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,ATL,TOR,0.2309843114792933,0.7690156885207067,1.44,2.85,0.6944444444444444,0.3508771929824561,0.6643356643356644,0.3356643356643357,-66.73825914698178,119.1694712284014,0.6344325913326618,-8.641706848096698,0.2828282828282828,0.2352941176470588,0.6643356643356644,-0.3143356643356644,False,PASS,0.4,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,ORL,MIA,0.3839393472255353,0.6160606527744648,1.33,4.1,0.7518796992481203,0.24390243902439027,0.7550644567219152,0.24493554327808476,-48.9360668190038,152.58486763753055,0.712391492460286,-5.251931502781959,0.4222222222222222,0.4473684210526316,0.7550644567219152,-0.332842234499693,False,PASS,0.7,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,PHO,SAC,0.471660898045118,0.528339101954882,1.55,2.5,0.6451612903225806,0.4,0.6172839506172839,0.3827160493827161,-26.892560803006702,32.08477548872048,0.5960673078808224,-7.609567278472529,0.4540540540540541,0.4595744680851064,0.6172839506172839,-0.1632298965632298,False,PASS,0.75,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,DAL,SAS,0.2982415129131054,0.7017584870868946,1.95,2.2,0.5128205128205129,0.45454545454545453,0.5301204819277109,0.46987951807228917,-41.84290498194445,54.386867159116825,0.5111644924896024,-0.3229239645275328,0.2828282828282828,0.26,0.5301204819277109,-0.1801204819277109,False,PASS,0.5,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,CHI,DET,0.4555581422788112,0.5444418577211888,2.17,1.81,0.4608294930875576,0.5524861878453039,0.4547738693467336,0.5452261306532663,-1.1438831254979687,-1.456023752464819,0.454060501679379,-1.4688711355747563,0.4540540540540541,0.4595744680851064,0.4547738693467336,-0.0007198152926795,False,PASS,0.6,False,official_shortlist_empty,empty_source_dataframe,NO_VALUE_SKIP,no meaningful raw edge and no canonical signal,none,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,UTA,LAC,0.5069791398501519,0.49302086014984814,1.21,4.6,0.8264462809917356,0.2173913043478261,0.7917383820998279,0.20826161790017214,-38.655524078131634,126.78959566893013,0.740937247120658,-10.34659309840038,0.5094339622641508,0.5,0.7917383820998279,-0.2823044198356771,False,PASS,0.35,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,CHO,BRK,0.338739334693389,0.661260665306611,1.5,2.75,0.6666666666666666,0.36363636363636365,0.6470588235294118,0.35294117647058826,-49.189099795991645,81.84668295931803,0.6188393890390614,-7.174091644140779,0.2828282828282828,0.3066666666666666,0.6470588235294118,-0.2970588235294118,False,PASS,0.5,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,MIL,WAS,0.5747770484434845,0.42522295155651546,1.22,4.4,0.819672131147541,0.22727272727272727,0.7829181494661922,0.21708185053380782,-29.877200089894885,87.09809868486683,0.730107488149573,-10.926886445752093,0.5454545454545454,0.5428571428571428,0.7829181494661922,-0.2374636040116468,False,PASS,0.5,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,BOS,PHI,0.4871743630287672,0.5128256369712327,1.6,2.42,0.625,0.4132231404958678,0.6019900497512438,0.39800995024875624,-22.052101915397238,24.10380414703832,0.578710395465009,-7.40633672559855,0.4540540540540541,0.4595744680851064,0.6019900497512438,-0.1479359956971897,False,PASS,0.65,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
2026-05-01,2025-10-22,MEM,NOP,0.5001195066058592,0.49988049339414076,1.53,2.5,0.6535947712418301,0.4,0.6203473945409429,0.3796526054590571,-23.481715489303532,24.97012334853519,0.5995446155288598,-8.269673824084444,0.4540540540540541,0.4595744680851064,0.6203473945409429,-0.1662933404868888,False,PASS,0.5,False,official_shortlist_empty,empty_source_dataframe,RAW_UNDERDOG_TEMPTATION,away raw EV positive without canonical signal,near_miss_review,,combined_nba_predictions_acc_2026-05-01.csv
